NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Arch_Diff,SWTI,SWTII,SWTIII
1,App user login,4,15,0,12,3,8,1,0,0,0,0,1,0,0,3,1,16,1.6666666666666667,12,0,26.666666666666668,10,9,7
2,Capture Frame from Video and get  LP number,10,25,0,23,5,12,6,0,0,0,0,0,0,0,10,0,0,2.8857142857142857,0,0,0,15,15,12
3,Extract License Plat Number from Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Extract Metrics on Number of hits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Generate Usage-based bill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Independent Review of Bad Driver Report,9,24,0,20,4,12,4,0,0,0,0,0,0,0,9,0,0,2.1621621621621623,0,0,0,20,18,14
7,Post Bad Driver Report to Insurance DB,32,26,0,23,7,10,6,0,0,1,0,1,0,1,31,1,272,2.9375,240,0,799,10,10,9
8,Query bad driver reporting DB,5,14,0,11,5,4,2,0,0,1,0,1,0,1,4,1,30,1.6,25,0,48,10,9,7
9,Recording video clips in a circular buffer,4,9,0,8,2,5,1,0,0,0,0,0,0,0,4,0,0,1.5454545454545454,0,0,0,15,12,9
10,Recording video of bad driving event,13,17,0,14,5,7,2,0,0,1,0,1,0,1,12,1,97,2.5952380952380953,84,0,251.73809523809524,10,9,7
11,Resolve Potential Duplicates,3,10,0,8,3,4,1,0,0,0,0,0,0,0,3,0,0,1.3636363636363635,0,0,0,15,12,9
12,Reviewer/Agent Login,5,18,0,14,4,9,1,0,0,0,0,0,0,0,5,0,0,2.391304347826087,0,0,0,20,20,19
13,Send Drunk Driver Alert,9,27,0,25,5,13,7,0,0,0,0,0,0,0,9,0,0,3.3157894736842106,0,0,0,15,12,9
14,Upload video clip to bad driver recording DB,5,19,0,14,3,10,1,0,0,0,0,2,0,0,3,2,7.5,1.5,5,0,11.25,10,9,7
15,View video clips,4,11,0,9,2,6,1,0,0,0,0,1,0,0,3,1,19,1.6666666666666667,15,0,31.666666666666668,20,18,14
