Tran_Num,Weight1,Weight2,Weight3,Weight4,Weight5
1,5,5,5,5,5
2,5,5,5,5,5
3,5,5,6.45,5,5
4,5,5,7.5,5,10
5,10,10,8.55,10,10
6,10,10,10,10,10
7,10,10,11.4,10,10
8,10,10,12.5,10,15
9,15,15,13.6,15,15
10,15,15,15,15,15
11,15,15,15,15,15
12,20,20,15,15,15
13,20,20,15,15,15
14,20,20,15,15,15
15,20,20,15,15,15
16,20,20,15,20,15
17,25,25,15,20,15
18,25,25,15,20,15
19,25,25,15,20,15
20,25,30,15,20,15
21,25,30,15,20,15
22,25,30,15,20,15
23,25,30,15,20,15
24,25,30,15,20,15
25,25,30,15,20,15
26,25,30,15,20,15
27,25,30,15,20,15
28,25,30,15,20,15
29,25,30,15,20,15
30,25,30,15,20,15
