Project_No,Project_Name,Simple_Actors,Average_Actors,Complex_Actors,UAW,Simple_UC,Average_UC,Complex_UC,UUCW,TCF,ECF,Real_Effort_Person_Hours,Norm_Effort,ApplicationType
6,F14a_black_professionals_net,1,2,1,8,,,,0,,,,,
12,f14a_cash_doctor,1,2,2,11,6,4,0,70,0.9,1.025,724,39.24119241,
8,f14a_e_lock_box,4,2,1,11,,,,0,,,,,
15,f14a_gotrla,2,2,1,9,1,6,3,110,0.835,0.995,482,29.00731201,
13,F14a_mobile_application_for_mobile_controlled_lighting,1,2,1,8,2,3,0,40,0.925,1.04,257.5,13.38357588,
10,F14a_REFERsy,3,3,1,12,6,3,1,75,0.925,0.995,263,14.28765449,
11,F14a_sharethetraining_com,3,0,2,9,5,8,0,105,0.88,1.04,571,31.19536713,
5,F14a_snapp_voice_communication_system,2,2,2,12,,,,0,,,,,
19,F14a_soccer_data_web_crawler,,,,,2,6,0,70,0.915,1.025,268.5,14.31427429,
2,F14a_tipsure_com,2,2,0,6,2,1,5,95,0.855,1.025,266,15.17615176,
9,F14a_women_at_work_website_redesign,2,1,3,13,4,3,1,65,0.855,1.025,140.5,8.015974897,
4,F15a_combat_conflict,3,0,1,6,4,3,0,50,0.795,0.92,1281,87.57178015,
6,F15a_construction_meeting_minutes_application,1,1,1,6,4,10,4,180,0.925,0.95,1482.5,84.35277383,
3,F15a_linggo,2,2,0,6,,,,0,,,,,
7,F15a_nice_ecommerse,1,3,3,16,16,6,2,170,0.805,1.025,617,37.3882745,
5,F15a_tour_conductor,2,2,1,9,5,2,1,60,0.885,0.89,1347,85.50752238,
1,s14b_location_based_ad,3,2,2,13,28,9,10,380,1.12,1.325,3680,123.9892183,
7,S15b_mission_science_irobots,2,2,9,33,,,,0,,,,,
3,s15b_snap_valet,1,2,2,11,0,3,8,150,0.925,0.965,302.5,16.94440555,
1,S15b_we_are_trojans_network,3,0,2,9,0,5,4,110,0.935,0.935,1965,112.3852555,
3,s16_bad_driver,2,4,2,16,11,1,0,65,1.135,1.25,1392,49.05726872,
4,S16b_flower_seeker,3,2,1,10,13,3,0,95,0.89,1.025,804.5,44.0942724,
2,s16b_Picshare_AA,2,2,0,6,22,2,0,130,0.94,0.875,1592,96.7781155,
1,s16b_Picshare_RA,1,2,1,8,17,5,2,165,0.94,0.89,3113,186.0506813,
4,s17_tikiman_go,1,1,0,3,28,0,0,140,1.175,1.31,737,23.94023063,
