No,Simple_UC,Average_UC,Complex_UC,Simple_Actors,Average_Actors,Complex_Actors
1,5.78,10.19,16.21,1,2,3
2,5,7.93,14.14,1,2,3
3,5.68,8.64,13.8,1,2,3
4,5,7.93,13.28,1,2,3
5,5,10,15,1,2,3
