Tran_Num,Wght.1,Wght.2,Wght.3,Wght.4,Wght.5,Wght.6
1,5,5,5,5,5,5
2,5,5,5,5,5,5
3,5,6.67,5,5,5,6.45
4,10,10,5,5,10,7.5
5,10,10,10,10,10,8.55
6,10,10,10,10,10,10
7,10,12.5,10,10,10,11.4
8,15,15,10,10,15,12.5
9,15,15,15,15,15,13.6
10,15,15,15,15,15,15
11,15,17.5,15,15,15,15
12,15,20,15,15,15,15
13,15,20,15,20,15,15
14,15,20,15,20,20,15
15,15,22.5,15,20,20,15
16,15,25,20,20,20,15
17,15,25,20,25,20,15
18,15,25,20,25,20,15
19,15,25,20,25,20,15
20,15,25,20,25,20,15
21,15,25,20,30,20,15
22,15,25,20,30,20,15
23,15,25,20,30,20,15
24,15,25,20,30,20,15
25,15,25,20,30,20,15
26,15,25,20,30,20,15
27,15,25,20,30,20,15
28,15,25,20,30,20,15
29,15,25,20,30,20,15
30,15,25,20,30,20,15
