No,Simple_UC,Average_UC,Complex_UC,Simple_Actors,Average_Actors,Complex_Actors
1,5,10,14.31,1,2,3
2,5,10,14.31,1,2,3
3,6.37,9.44,13.8,2,3,1
4,5,10,13.28,1,3,4
5,6.9,10,15,2,1,3
