No,Simple_UC,Average_UC,Complex_UC,Simple_Actors,Average_Actors,Complex_Actors
1,5,10,15,1,2,3
2,10,15,20,1,2,3
3,8,9,19,2,3,1
4,3,11,21,1,3,4
5,6,12,14,2,1,3
6,3,14,21,1,2,5
7,11,12,14,2,4,7
8,9,14,18,3,4,9
9,2,16,23,1,3,7
10,2,13,21,1,3,6
