No,Simple_UC,Average_UC,Complex_UC,Simple_Actors,Average_Actors,Complex_Actors
1,5.93,10.24,18.95,1,2,3
2,5,7.66,16.84,1,2,3
3,5.81,8.49,14.19,1,2,3
4,5,7.66,15,1,2,3
5,5,10,15,1,2,3
6,5,10,16.84,1,2,3
