NUM,UC,NT
1,Login,5
2,View Dashboard Page,2
3,Edit Consumer Profile,2
4,Share Prices,3
5,Share Price through OCR capture,3
6,Search Provider,3
7,Follow/unfollow a provider,5
8,Rate a provider,4
9,Add New Provider,3
10,Maintain the system,4
11,Login/Logout,4
12,Forgets password,4
13,Add users,3
14,Delete users,4
15,Modify user information,5
16,Manage teams/volunteers/girls,14
17,Import data from csv,8
18,Export attendance,10
19,Monitor attendance,4
20,Record attendance,5
21,Add course,3
22,Delete course,4
23,Modify course,3
24,Verify new course,5
25,Request new course,3
26,Update schedule,5
27,Login,5
28,Logout,2
29,Setup account,3
30,Share course,5
31,Search course,4
32,Register course,5
33,Review course,4
34,Search Business,6
35,Add a new business,5
36,Business Owner Registration,7
37,Business Claim,8
38,Travel Tipping Guides,3
39,Use Tip Calculator,1
40,Submit questions and responses,14
41,User comments and moderation,9
42,Online registration,3
43,Online Feedback Process,3
44,Onsite user checkin,4
45,Secure Document Management,4
46,Secure File Management View Process,6
47,Report generation,3
48,Sharing articles to social media,5
49,Add articles to blog,2
50,Provide Information,2
51,Take Scenario Quiz,5
52,Take Team Scenario Quiz,2
53,Logout,2
54,Edit Page on Website,4
55,Clear submitted answer,2
56,Login,4
57,Signup,14
58,Login,6
59,Edit Profile,2
60,Approve Signup,4
61,Create New Project,5
62,Accept/Reject Comment,7
63,View Pending Tasks,5
64,Change Project,5
65,Publish Meeting,6
66,Create meeting,5
67,Generate log,5
68,Edit meeting,4
69,Edit project,4
70,View meeting,3
71,View assigned tasks,3
72,Submit comments to assigned task,4
73,View Status of Submitted Comment,3
74,Send notification,4
75,Login,3
76,Logout,2
77,Submit buyer registration,3
78,Submit vendor registration,3
79,Add item to cart,1
80,Check out,5
81,Edit cart,1
82,Delete item in cart,1
83,Edit product,4
84,Create product,5
85,Delete product,4
86,Create blog,2
87,Write comment,3
88,Search product,3
89,Vendor email customer,2
90,Admin email vendor,2
91,Create and email newsletter,5
92,Signup for newsletter,2
93,Check order,2
94,Approve new vendors,3
95,Manage account setting,4
96,Display vendors,2
97,Manage vendor,7
98,Approve pending product,6
99,Authorize tour creator,2
100,Delete irrelevant tours,1
101,Creator log in and register,6
102,Upload tours,2
103,Search for a tour,4
104,View a particular stop,4
105,Update tour,2
106,Creator modify tour details,3
107,Check in as valet,8
108,Retrieve and Return Vehicle,13
109,Check in as customer,7
110,Request and Pay,7
111,Remove Employee,4
112,Add Employee,4
113,Remove Location,4
114,Add location,6
115,Register as Valet,9
116,Register as Customer,9
117,Register as Valet Company,8
118,start a thread,5
119,Search the forum,4
120,Like a thread or a post,22
121,Unlike a thread or a post,22
122,View the forum,4
123,Post to a specific thread on forum,5
124,Redeem gift items,7
125,View the leaderboard,4
126,Update his/her profile,7
127,Login,3
128,Logout,1
129,Create profile,4
130,Manage Profile,3
131,Search Product,3
132,Add to cart,3
133,Place Order,4
134,View order history,3
135,View Past Transactions,3
136,Track Order,2
137,Provide tracking information,2
138,Review and Rating,3
139,Upload catalog,3
140,Manage Catalog,3
141,Private message,3
142,Private Message - Florist,5
143,Add image for switch,2
144,Assign gateways names,4
145,Delete gateway,3
146,Swith on/off switches,4
147,Add favorite screen,4
148,Create a new account,3
149,Login,3
150,Loginout,2
151,Sign in social media accounts,7
152,Update user profile,4
153,Search for jobs,4
154,Save search results,3
155,Mark favorite jobs,3
156,Send a referral request email,5
157,Email subscription,2
158,Create Account,0
159,Choose Avatar,0
160,Choose Weapon,0
161,Create Account,0
162,Login,0
163,Render Intial Mode,0
164,Choose Avatar,1
165,Play Ar mode,1
166,Determine AR/ VR mode,0
167,Navigate in AR Mode,2
168,Link the tourist spot to Doug's E-book,0
169,Render Battle Scene,0
170,Choose Weapon,1
171,Use Weapon,1
172,Fight Battle,2
173,Update Database,3
174,Algorithm,0
175,Increase Difficulty accordingly,3
176,Get Score,0
177,Render Battle scene,0
178,Render Army,0
179,Render Minimap,0
180,Use Weapon,2
181,Increase difficulty ,1
182,Update Screen,0
183,Change Weapon,0
184,Calculate score ,1
185,Navigate in VR Mode,0
186,Recording video of bad driving event,0
187,Query bad driver reporting DB,1
188,Post Bad Driver Report to Insurance DB,0
189,Send Drunk Driver Alert,1
190,Upload video clip to bad driver recording DB,1
191,Reviewer/Agent Login,5
192,Independent Review of Bad Driver Report,2
193,Capture Frame from Video and get  LP number,1
194,View video clips,1
195,App user login,3
196,Resolve Potential Duplicates,2
197,Recording video clips in a circular buffer,1
198,Post Picture,5
199,Delete Picture,2
200,View Specific Picture,1
