id,element,useCase,type,outboundDegree,inboundDegree
1,Actor:Create Event Screen,Create a Public Event,0,undefined,undefined
2,Create Event Screen:Validate hashtag containts alphanume dash underscore,Create a Public Event,0,undefined,undefined
3,Create Event Screen:Handle Validate Error,Create a Public Event,0,undefined,undefined
4,User:Create Event Screen,Create a Public Event,0,undefined,undefined
5,Validate hashtag uniqueness:Event Collection,Create a Public Event,0,undefined,undefined
6,Handle Validate Error:Event Collection,Create a Public Event,0,undefined,undefined
7,Validate hashtag containts alphanume dash underscore:Handle Validate Error,Create a Public Event,0,undefined,undefined
8,Validate hashtag uniqueness:Handle Validate Error,Create a Public Event,0,undefined,undefined
9,Validate hashtag containts alphanume dash underscore:Validate hashtag uniqueness,Create a Public Event,0,undefined,undefined
10,stl#Actor:Create Event Screen,Create a Public Event,0,undefined,undefined
11,stl#User:Create Event Screen,Create a Public Event,0,undefined,undefined
