NUM, UC, total_links, actor_num, boundary_num, control_num, entity_num, element_num, DM, INT, CTRL, EXTIVK, EXTCLL, TRAN_NA, TN, EI, EO, EQ, FUNC_NA, FN, average_degree,average_path_length,ArchDiff,PathNum
1,Add a new website,8,1,2,2,1,6,1,1,2,0,0,0,2,1,0,0,0,0,1.3333333333333333,4.5,6,2
2,Show the website,11,1,3,2,1,7,2,1,3,0,0,0,3,1,0,0,0,0,1.5714285714285714,4,6.285714285714286,3
3,Edit website details,11,1,3,3,1,8,2,3,5,0,0,0,5,3,0,0,0,0,1.375,4,5.5,5
4,Add a new player,11,1,3,3,1,8,2,3,5,0,0,0,5,3,0,0,0,0,1.375,4,5.5,5
5,Show the player,10,1,3,2,1,7,2,2,4,0,0,0,4,2,0,0,0,0,1.4285714285714286,4,5.714285714285714,4
6,Edit the crawling attributes of a player,11,1,3,3,1,8,2,3,5,0,0,0,5,3,0,0,0,0,1.375,4,5.5,5
7,Delete a website,12,1,3,3,1,8,2,2,4,0,0,0,4,2,0,0,0,0,1.5,4,6,4
8,Schedule player crawl,10,1,3,2,2,8,2,2,4,0,0,0,4,2,0,0,0,0,1.25,4,5,4
