id,path,functional,transactional,path_length,diagram,useCase
1,User->Sign up page->verify sign up information->Save sign up information->user,EI,CTRL|DM|EI,undefined,Setup account,Setup account
2,User->Sign up page->verify sign up information->Save sign up information->home page,EQ,CTRL|INT,undefined,Setup account,Setup account
3,User->Sign up page->verify sign up information->invalid sign up informatin,EQ,CTRL|INT,undefined,Setup account,Setup account
