id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,invalid sign up informatin,boundary,0,2,Setup account,Setup account,
2,verify sign up information,control,2,1,Setup account,Setup account,
3,Save sign up information,control,2,1,Setup account,Setup account,
4,user,entity,0,1,Setup account,Setup account,
5,home page,boundary,0,2,Setup account,Setup account,
6,Sign up page,boundary,1,1,Setup account,Setup account,
7,User,actor,3,0,Setup account,Setup account,
