id,path,functional,transactional,path_length, boundry_num, control_num, entity_num, actor_num, diagram,useCase
1,User->Weapons Bar->Select Weapon available->Weapons,EI,CTRL|DM|EI,4,undefined,1,1,1,Choose Weapon,Choose Weapon
2,User->Weapons Bar->Select Weapon available->Check Weapon Inventory,FUNC_NA,TRAN_NA,4,undefined,2,0,1,Choose Weapon,Choose Weapon
