id,attribute,type,element
1,BMP JPG PNG,EAJava_void,Event Image
2,Hyperlink,EAJava_void,Event LIst
3,String,EAJava_void,Event LIst
4,undefined,EAID_55249C51_8176_4809_A8D0_33641B1F9301,Event LIst
5,PDF,EAJava_void,Event Profile
6,undefined,EAID_DC4366CA_A307_4230_86FE_A9B27A20E5A8,Event Profile
7,BMP JPG PNG,EAJava_void,Image Gallery
8,undefined,EAID_D2A5D2D3_54BB_4fb8_AA8D_054280797500,Image Gallery
9,undefined,EAID_55249C51_8176_4809_A8D0_33641B1F9301,Image Gallery
10,Hyperlink,EAJava_void,Job Application Form 
11,String,EAJava_void,Job Application Form 
12,Hyperlink,EAJava_void,Job Opening List
13,String,EAJava_void,Job Opening List
14,undefined,EAID_55249C51_8176_4809_A8D0_33641B1F9301,Job Opening List
15,undefined,EAID_46E22B70_ABA4_415a_A547_470E2B60375D,Job Opening List
16,PDF,EAJava_void,Job Profile
17,undefined,EAID_F36D014D_3944_46ba_AF40_81E9DA847A29,Job Profile
18,BMP JPG PNG,EAJava_void,Social Media Update Item 
19,Hyperlink,EAJava_void,Social Media Update Item 
20,Hyperlink,EAJava_void,Wishlist
21,Sting,EAJava_void,Wishlist
22,undefined,EAID_55249C51_8176_4809_A8D0_33641B1F9301,Wishlist
23,undefined,EAID_D6B0D9D2_1862_49a5_BE85_5EE6A22B9AD8,Wishlist
24,PDF,EAJava_void,Wishlist Item
