id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,db,undefined,undefined,undefined,undefined,undefined,undefined
2,Usermanagementbutton,undefined,undefined,undefined,undefined,undefined,undefined
3,activationsuccessmessage,undefined,undefined,undefined,undefined,undefined,undefined
4,checkthestatusofuser,undefined,undefined,undefined,undefined,undefined,undefined
5,Administrator,undefined,undefined,undefined,undefined,undefined,undefined
6,unauthorizedrequest,undefined,undefined,undefined,undefined,undefined,undefined
7,print,undefined,undefined,undefined,undefined,undefined,undefined
8,download,undefined,undefined,undefined,undefined,undefined,undefined
9,case,undefined,undefined,undefined,undefined,undefined,undefined
10,emailpassword,undefined,undefined,undefined,undefined,undefined,undefined
11,insertuserinfo,undefined,undefined,undefined,undefined,undefined,undefined
12,blankdescriptionerror,undefined,undefined,undefined,undefined,undefined,undefined
13,savereporttodb,undefined,undefined,undefined,undefined,undefined,undefined
14,role,undefined,undefined,undefined,undefined,undefined,undefined
