id, function, functional, DET, FTR, boundaries, controls, entities, typeStr
1,Administrator:user edit page-->user edit page:validate input user information-->validate input user information:save input user information-->save input user information:display user information-->display user information:user information page-->user information page:display user edit page-->display user edit page:user edit page-->user edit page:validate input user information,EQ,1,8,0,8,0,control->control->control->control->control->control->control->control
2,Administrator:user edit page-->user edit page:validate input user information-->validate input user information:save input user information-->save input user information:User,EQ,0,4,0,4,0,control->control->control->control
3,Administrator:user edit page-->user edit page:validate input user information-->validate input user information:invalid input information error,EQ,0,3,0,3,0,control->control->control
4,Administrator:user management page-->user management page:check the status of user-->check the status of user:user is already activated error,EO,0,3,1,2,0,control->control->boundary
5,Administrator:user management page-->user management page:check the status of user-->check the status of user:user information page-->user information page:display user edit page-->display user edit page:user edit page-->user edit page:validate input user information-->validate input user information:save input user information-->save input user information:display user information-->display user information:user information page-->user information page:display user edit page,EQ,1,10,0,10,0,control->control->control->control->control->control->control->control->control->control
6,Administrator:user management page-->user management page:check the status of user-->check the status of user:user information page-->user information page:display user edit page-->display user edit page:user edit page-->user edit page:validate input user information-->validate input user information:save input user information-->save input user information:User,EQ,1,8,0,8,0,control->control->control->control->control->control->control->control
7,Administrator:user management page-->user management page:check the status of user-->check the status of user:user information page-->user information page:display user edit page-->display user edit page:user edit page-->user edit page:validate input user information-->validate input user information:invalid input information error,EQ,1,7,0,7,0,control->control->control->control->control->control->control
8,Administrator:user management page-->user management page:check the status of user-->check the status of user:activtate the user-->activtate the user:activation success message,EO,0,4,2,2,0,control->control->boundary->boundary
9,Administrator:user management page-->user management page:check the status of user-->check the status of user:activtate the user-->activtate the user:User,EQ,1,4,1,3,0,control->control->boundary->control
10,Administrator:user information page-->user information page:display user edit page-->display user edit page:user edit page-->user edit page:validate input user information-->validate input user information:save input user information-->save input user information:display user information-->display user information:user information page-->user information page:display user edit page,EQ,1,8,0,8,0,control->control->control->control->control->control->control->control
11,Administrator:user information page-->user information page:display user edit page-->display user edit page:user edit page-->user edit page:validate input user information-->validate input user information:save input user information-->save input user information:User,EQ,1,6,0,6,0,control->control->control->control->control->control
12,Administrator:user information page-->user information page:display user edit page-->display user edit page:user edit page-->user edit page:validate input user information-->validate input user information:invalid input information error,EQ,1,5,0,5,0,control->control->control->control->control
13,Administrator:unauthorized error message,EQ,0,1,0,1,0,control
14,Administrator:user is already activated error,EQ,0,1,1,0,0,boundary
15,Administrator:invalid input information error,EQ,0,1,0,1,0,control
16,Administrator:activation success message,EQ,0,1,1,0,0,boundary
17,Administrator:User management button-->User management button:validate role of user-->validate role of user:user management page-->user management page:check the status of user-->check the status of user:user is already activated error,EI,1,5,1,3,1,control->entity->control->control->boundary
18,Administrator:User management button-->User management button:validate role of user-->validate role of user:user management page-->user management page:check the status of user-->check the status of user:user information page-->user information page:display user edit page-->display user edit page:user edit page-->user edit page:validate input user information-->validate input user information:save input user information-->save input user information:display user information-->display user information:user information page-->user information page:display user edit page,EQ,2,12,0,11,1,control->entity->control->control->control->control->control->control->control->control->control->control
19,Administrator:User management button-->User management button:validate role of user-->validate role of user:user management page-->user management page:check the status of user-->check the status of user:user information page-->user information page:display user edit page-->display user edit page:user edit page-->user edit page:validate input user information-->validate input user information:save input user information-->save input user information:User,EQ,2,10,0,9,1,control->entity->control->control->control->control->control->control->control->control
20,Administrator:User management button-->User management button:validate role of user-->validate role of user:user management page-->user management page:check the status of user-->check the status of user:user information page-->user information page:display user edit page-->display user edit page:user edit page-->user edit page:validate input user information-->validate input user information:invalid input information error,EQ,2,9,0,8,1,control->entity->control->control->control->control->control->control->control
21,Administrator:User management button-->User management button:validate role of user-->validate role of user:user management page-->user management page:check the status of user-->check the status of user:activtate the user-->activtate the user:activation success message,EI,1,6,2,3,1,control->entity->control->control->boundary->boundary
22,Administrator:User management button-->User management button:validate role of user-->validate role of user:user management page-->user management page:check the status of user-->check the status of user:activtate the user-->activtate the user:User,EQ,2,6,1,4,1,control->entity->control->control->boundary->control
23,Administrator:User management button-->User management button:validate role of user-->validate role of user:unauthorized error message,EQ,0,3,0,2,1,control->entity->control
