id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Remove button,boundary,0,2,Cancel Connection,Cancel Connection,
2,Redirect to connection list,control,1,1,Cancel Connection,Cancel Connection,
3,remove connection between users,control,1,1,Cancel Connection,Cancel Connection,
4,Confirmation dialog,boundary,2,2,Cancel Connection,Cancel Connection,
5,connection,entity,0,1,Cancel Connection,Cancel Connection,
6,show up confirmation dialog,control,1,1,Cancel Connection,Cancel Connection,
7,Remove button,boundary,1,1,Cancel Connection,Cancel Connection,
8,User,actor,4,0,Cancel Connection,Cancel Connection,
