id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:Survey detail input page->User:Survey detail input page->Survey detail input page:Input survey brief info->Input survey brief info:Survey db,Create Survey,CTRL,4,0,7,3,28
2,stl#User:Survey detail input page->User:Survey detail input page->Survey detail input page:Input survey brief info->Input survey brief info:Survey detail page->Survey detail page:add survey detail into db->add survey detail into db:survey has been created message,Create Survey,CTRL;EXTCLL;INT,6,0,6,5,36
3,stl#User:Survey detail page->User:Survey detail page->Survey detail page:add survey detail into db->add survey detail into db:survey has been created message,Create Survey,CTRL;EXTCLL;INT,4,0,5.333333333333333,3,21.333333333333332
4,stl#User:survey has been created message->User:survey has been created message,Create Survey,CTRL;EXTCLL;INT,2,0,2,1,4
