id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,check input information,control,2,1,Manage account setting,Manage account setting,
2,Invalid input information,boundary,0,2,Manage account setting,Manage account setting,
3,Notification,entity,0,1,Manage account setting,Manage account setting,
4,notify user,control,1,1,Manage account setting,Manage account setting,
5,setting,entity,0,1,Manage account setting,Manage account setting,
6,save setting changes,control,2,1,Manage account setting,Manage account setting,
7,Account information page,boundary,1,2,Manage account setting,Manage account setting,
8,redirect account information page,control,1,1,Manage account setting,Manage account setting,
9,Edit setting button,boundary,1,1,Manage account setting,Manage account setting,
10,Admin,actor,3,0,Manage account setting,Manage account setting,
