id,path,functional,transactional,path_length, boundry_num, control_num, entity_num, actor_num, diagram,useCase
1,User->login page->query user info->user info,EI,CTRL|DM|EI,4,undefined,1,1,1,Login,Login
2,User->login page->query user info->main page,EQ,CTRL|INT,4,undefined,1,0,1,Login,Login
3,User->login page->query user info->login information invalid box,EQ,CTRL|INT,4,undefined,1,0,1,Login,Login
