id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:Updated Minimap->User:Updated Minimap,Update Screen,CTRL;EXTCLL;INT,2,1,2,1,4
2,stl#User:Updated Army->User:Updated Army,Update Screen,CTRL;EXTCLL;INT,2,1,2,1,4
