id,element,useCase,type,component
1,User:Homepage,Login,boundary,Homepage
2,User:Login page,Login,boundary,Homepage
3,Display error:Homepage,Login,boundary,Homepage
4,Display error:Login page,Login,boundary,Homepage
5,Redirect  to home page:Display error,Login,control,Displayconfirmation
6,Login page:Validate username and password,Login,control,Deletecustormer
7,Validate username and password:Redirect  to home page,Login,boundary,Homepage
8,stl#User:Homepage,Login,Stimulus,undefined
9,stl#User:Login page,Login,Stimulus,undefined
