id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Actor,actor,1,0,Use Case Model,View photos of event/View photos of private event with password,
2,Navigate to Photo Selected Screen,control,0,1,Use Case Model,View photos of event/View photos of private event with password,
3,Photo Collection,entity,0,2,Use Case Model,View photos of event/View photos of private event with password,
4,Display Remaining Event Time,control,1,1,Use Case Model,View photos of event/View photos of private event with password,
5,Determine if user is event owner,control,2,1,Use Case Model,View photos of event/View photos of private event with password,
6,Retrieve Photos for Event,control,2,1,Use Case Model,View photos of event/View photos of private event with password,
7,Handle photo retrieval error,control,1,1,Use Case Model,View photos of event/View photos of private event with password,
8,Event,entity,0,2,Use Case Model,View photos of event/View photos of private event with password,
9,Hide Edit Button,control,1,1,Use Case Model,View photos of event/View photos of private event with password,
10,Event Screen,boundary,5,4,Use Case Model,View photos of event/View photos of private event with password,
