id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#User:App Main Page->User:App Main Page,Login,2,1,0,0,0
2,stl#User:Login Page->User:Login Page->Login Page:Check username and password->Check username and password:App Main Page,Login,4,2,1,0,0
3,stl#User:Login Page->User:Login Page->Login Page:Check username and password->Check username and password:User,Login,4,1,2,0,0
4,stl#User:Login Page->User:Login Page->Login Page:Check username and password->Check username and password:Login Page->Login Page:Check username and password,Login,5,2,2,0,0
5,stl#User:Login Page->User:Login Page->Login Page:Check username and password->Check username and password:Facebook Service,Login,4,1,2,0,0
