id,element,useCase,type,component
1,send email including credential:Email Protocol,View Dashboard Page,actor,Addproviderbutton
2,User:Feature List,View Dashboard Page,boundary,FeatureList
3,User:Invalid information error message,View Dashboard Page,boundary,Errormessageforupdatefailure
4,User:Forgotten username or password link,View Dashboard Page,boundary,Errormessageforupdatefailure
5,User:feature detail,View Dashboard Page,boundary,FeatureList
6,Feature List:redirect to feature page,View Dashboard Page,control,Redirecttosearchpage
7,Forgotten username or password link:send email including credential,View Dashboard Page,control,sendemailincludingcredential
8,Invalid information error message:update feature detail,View Dashboard Page,boundary,FeatureList
9,redirect to feature page:Invalid information error message,View Dashboard Page,boundary,Errormessageforupdatefailure
10,update feature detail:feature,View Dashboard Page,boundary,FeatureList
11,feature detail:update feature detail,View Dashboard Page,boundary,FeatureList
12,redirect to feature page:feature detail,View Dashboard Page,boundary,FeatureList
13,stl#User:Feature List,View Dashboard Page,Stimulus,undefined
14,stl#User:Invalid information error message,View Dashboard Page,Stimulus,undefined
15,stl#User:Forgotten username or password link,View Dashboard Page,Stimulus,undefined
16,stl#User:feature detail,View Dashboard Page,Stimulus,undefined
