id, function, functional, DET, FTR, boundaries, controls, entities, typeStr
1,User:Add a business button-->Add a business button:display add business page-->display add business page:business input information-->business input information:save business information for verification-->save business information for verification:business,EQ,1,5,5,0,0,boundary->boundary->boundary->boundary->boundary
2,User:business input information-->business input information:save business information for verification-->save business information for verification:business,EQ,0,3,3,0,0,boundary->boundary->boundary
3,Admin:business info-->business info:save the approval status of the business-->save the approval status of the business:business,EQ,0,3,3,0,0,boundary->boundary->boundary
4,Admin:added business button-->added business button:redirect to search panel-->redirect to search panel:business input information-->business input information:save business information for verification-->save business information for verification:business,EQ,1,5,4,1,0,boundary->control->boundary->boundary->boundary
5,Admin:business list-->business list:query information for a specific business-->query information for a specific business:business info-->business info:save the approval status of the business-->save the approval status of the business:business,EQ,0,5,5,0,0,boundary->boundary->boundary->boundary->boundary
6,Admin:business list-->business list:query information for a specific business-->query information for a specific business:business,EQ,0,3,3,0,0,boundary->boundary->boundary
7,User:claim page-->claim page:save claim information for verification-->save claim information for verification:claim information,EQ,1,3,0,3,0,control->control->control
8,User:Claim button-->Claim button:display claim page-->display claim page:claim page-->claim page:save claim information for verification-->save claim information for verification:claim information,EQ,2,5,0,5,0,control->control->control->control->control
9,Admin:load claims button-->load claims button:display claims requests-->display claims requests:list of claims-->list of claims:Query claim detail-->Query claim detail:claim information,EQ,0,5,0,5,0,control->control->control->control->control
10,Admin:load claims button-->load claims button:display claims requests-->display claims requests:list of claims-->list of claims:Query claim detail-->Query claim detail:Claim Detail-->Claim Detail:save the approval status of claim-->save the approval status of claim:remove claim information-->remove claim information:claim information,EQ,0,8,0,8,0,control->control->control->control->control->control->control->control
11,Admin:load claims button-->load claims button:display claims requests-->display claims requests:list of claims-->list of claims:Query claim detail-->Query claim detail:Claim Detail-->Claim Detail:save the approval status of claim-->save the approval status of claim:claim information,EQ,0,7,0,7,0,control->control->control->control->control->control->control
12,Admin:load claims button-->load claims button:display claims requests-->display claims requests:claim information,EQ,0,3,0,3,0,control->control->control
13,Admin:Claim Detail-->Claim Detail:save the approval status of claim-->save the approval status of claim:remove claim information-->remove claim information:claim information,EQ,0,4,0,4,0,control->control->control->control
14,Admin:Claim Detail-->Claim Detail:save the approval status of claim-->save the approval status of claim:claim information,EQ,0,3,0,3,0,control->control->control
15,Admin:list of claims-->list of claims:Query claim detail-->Query claim detail:claim information,EQ,0,3,0,3,0,control->control->control
16,Admin:list of claims-->list of claims:Query claim detail-->Query claim detail:Claim Detail-->Claim Detail:save the approval status of claim-->save the approval status of claim:remove claim information-->remove claim information:claim information,EQ,0,6,0,6,0,control->control->control->control->control->control
17,Admin:list of claims-->list of claims:Query claim detail-->Query claim detail:Claim Detail-->Claim Detail:save the approval status of claim-->save the approval status of claim:claim information,EQ,0,5,0,5,0,control->control->control->control->control
18,User:Register button-->Register button:display registration page-->display registration page:registration page-->registration page:save information for verification-->save information for verification:registration information,EQ,2,5,0,5,0,control->control->control->control->control
19,User:registration page-->registration page:save information for verification-->save information for verification:registration information,EQ,1,3,0,3,0,control->control->control
20,Admin:list of registrations-->list of registrations:Query registration detail-->Query registration detail:Registration Detail-->Registration Detail:save the approval status of registration-->save the approval status of registration:registration information,EQ,2,5,0,5,0,control->control->control->control->control
21,Admin:list of registrations-->list of registrations:Query registration detail-->Query registration detail:registration information,EQ,0,3,0,3,0,control->control->control
22,Admin:registration button-->registration button:redirect to search panel-->redirect to search panel:registration page-->registration page:save information for verification-->save information for verification:registration information,EQ,2,5,0,5,0,control->control->control->control->control
23,Admin:registration button-->registration button:display registratiion requests-->display registratiion requests:registration information,EQ,2,3,0,3,0,control->control->control
24,Admin:registration button-->registration button:display registratiion requests-->display registratiion requests:list of registrations-->list of registrations:Query registration detail-->Query registration detail:Registration Detail-->Registration Detail:save the approval status of registration-->save the approval status of registration:registration information,EQ,4,7,0,7,0,control->control->control->control->control->control->control
25,Admin:registration button-->registration button:display registratiion requests-->display registratiion requests:list of registrations-->list of registrations:Query registration detail-->Query registration detail:registration information,EQ,2,5,0,5,0,control->control->control->control->control
26,Admin:Registration Detail-->Registration Detail:save the approval status of registration-->save the approval status of registration:registration information,EQ,2,3,0,3,0,control->control->control
27,User:operation selection panel-->operation selection panel:Query business by options-->Query business by options:business list-->business list:Query business information-->Query business information:business,EQ,0,5,0,5,0,control->control->control->control->control
28,User:operation selection panel-->operation selection panel:Query business by options-->Query business by options:business,EQ,0,3,0,3,0,control->control->control
