"","X1","X2","X1.1","X2.1","X3","X1.2","X2.2","X3.1","X4","X1.3","X2.3","X3.2","X4.1","X5","X1.4","X2.4","X3.3","X4.2","X5.1","X6","X1.5","X2.5","X3.4","X4.3","X5.2","X6.1","X7"
"TL",-Inf,Inf,-0.9,5,Inf,-0.9,4,6,Inf,-0.9,4,5,7,Inf,-0.9,4,5,6,7,Inf,-0.9,4,4.1,5,6,8,Inf
"TD",-Inf,Inf,-0.9,5,Inf,-0.9,4,6.28571428571429,Inf,-0.9,3.4,5,7.33333333333333,Inf,-0.9,3,4.33333333333333,5.66666666666667,8,Inf,-0.9,3,4,5,6.28571428571429,8.43386243386243,Inf
"DETs",-Inf,Inf,-0.9,1,Inf,-0.9,1,2,Inf,-0.9,1,1.1,2,Inf,-0.9,0,1,2,3,Inf,-0.9,0,1,1.1,2,3,Inf
