"","mean","se","t","median","CrI","CrI"
"l1",1.23,0.36,3.39,1.17,0.71,2.02
"sd",434.55,30.44,14.27,434.59,373.03,489.98
"effortAdj",5.2,1.48,3.51,5.11,2.84,8.03
"sd",434.55,30.44,14.27,434.59,373.03,489.98
