id,element,useCase,type,component
1,Actor:upload choice,Search event and upload photo,boundary,myupload
2,Actor:Search Result Page,Search event and upload photo,control,Result
3,Actor:confirm,Search event and upload photo,boundary,confirm
4,Actor:Search Event,Search event and upload photo,boundary,event
5,Event Collection:prepare resullt,Search event and upload photo,control,Result
6,Search(back-end):Event Collection,Search event and upload photo,boundary,event
7,Photos in the event:Upload finished,Search event and upload photo,boundary,myupload
8,Photos in the event:failed to upload,Search event and upload photo,boundary,myupload
9,confirm upload:Photos in the event,Search event and upload photo,boundary,event
10,Search Event:enter search item and search,Search event and upload photo,control,Searchbox
11,search & upload:Search Event,Search event and upload photo,boundary,event
12,User:Search Event,Search event and upload photo,boundary,event
13,Search Result Page:Select an event,Search event and upload photo,boundary,event
14,prepare resullt:Search Result Page,Search event and upload photo,control,Result
15,User:Search Result Page,Search event and upload photo,control,Result
16,can't access server:Search(back-end),Search event and upload photo,control,Searchbox
17,enter search item and search:Search(back-end),Search event and upload photo,control,Searchbox
18,Select an event:confirm,Search event and upload photo,boundary,confirm
19,Upload finished:result,Search event and upload photo,control,Result
20,can't access server:enter search item and search,Search event and upload photo,control,Searchbox
21,confirm:confirm upload,Search event and upload photo,boundary,confirm
22,User:confirm,Search event and upload photo,boundary,confirm
23,failed to upload:result,Search event and upload photo,control,Result
24,search & upload:upload choice,Search event and upload photo,boundary,myupload
25,User:upload choice,Search event and upload photo,boundary,myupload
26,stl#Actor:upload choice,Search event and upload photo,Stimulus,undefined
27,stl#Actor:Search Result Page,Search event and upload photo,Stimulus,undefined
28,stl#Actor:confirm,Search event and upload photo,Stimulus,undefined
29,stl#Actor:Search Event,Search event and upload photo,Stimulus,undefined
30,stl#User:Search Event,Search event and upload photo,Stimulus,undefined
31,stl#User:Search Result Page,Search event and upload photo,Stimulus,undefined
32,stl#User:confirm,Search event and upload photo,Stimulus,undefined
33,stl#User:upload choice,Search event and upload photo,Stimulus,undefined
