id,operation,element
1,helpusecasediagramhtm,$help://usecasediagram.htm
2,helpusecasemodelpatternhtm,$help://use_case_model_pattern.htm
3,helpactorhtm,$help://actor.htm
4,SystemBoundary,System Boundary
5,helpdomainmodelpatternhtm,$help://domain_model_pattern.htm
6,Class1,Class1
7,Class2,Class2
8,Class3,Class3
9,confirmdialog,confirmdialog
10,verifyinputinformation,verifyinputinformation
11,websites,websites
12,Attributelistofwebsite,websites
13,addattributes,websites
14,querycrawlinglistofwebsites,websites
15,schedulesuccessmessage,schedulesuccessmessage
16,schedule,schedulesuccessmessage
