id,element,useCase,type,component
1,User:selects the "Save" Button,Edit User Profile,boundary,User Authentication Controller
2,User:enters in the new values ,Edit User Profile,boundary,User Authentication Controller
3,User:Homepage,Edit User Profile,boundary,Login Page
4,informs the User of the success:Homepage,Edit User Profile,boundary,Login Page
5,saves the data in the database:User Profile db,Edit User Profile,entity,Profile
6,enters in the new values :saves the data in the database,Edit User Profile,control,MySQL Database Connector
7,saves the data in the database:informs the User of the success,Edit User Profile,control,Standard Information
8,selects the "Save" Button:saves the data in the database,Edit User Profile,control,MySQL Database Connector
9,stl#User:selects the "Save" Button,Edit User Profile,Stimulus,undefined
10,stl#User:enters in the new values ,Edit User Profile,Stimulus,undefined
11,stl#User:Homepage,Edit User Profile,Stimulus,undefined
