id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Redirect to login page,control,1,1,Share course,Share course,
2,Login page,boundary,0,2,Share course,Share course,
3,Notification,entity,0,1,Share course,Share course,
4,send course information to users,control,1,1,Share course,Share course,
5,Course list,boundary,1,2,Share course,Share course,
6,load course list,control,2,1,Share course,Share course,
7,Open course share menu,control,1,1,Share course,Share course,
8,user,entity,0,1,Share course,Share course,
9,Share menu,boundary,2,2,Share course,Share course,
10,course list button,boundary,1,1,Share course,Share course,
11,User,actor,4,0,Share course,Share course,
