id,path,functional,transactional,path_length,diagram,useCase
1,Case Manager->list of cases->query detail of a case->case information page,EQ,CTRL|INT,undefined,Edit case,Edit case
2,Case Manager->list of cases->query detail of a case->case,EI,CTRL|DM|EI,undefined,Edit case,Edit case
3,Case Manager->case information page->validate role->unauthorized error message,EQ,CTRL|INT,undefined,Edit case,Edit case
4,Case Manager->case information page->validate role->role,EI,CTRL|DM|EI,undefined,Edit case,Edit case
5,Case Manager->case information page->validate role->display information edit page->case information edit page,EQ,CTRL|INT,undefined,Edit case,Edit case
6,Case Manager->case information edit page->validate input information->save case update information->case information,EI,CTRL|DM|EI,undefined,Edit case,Edit case
7,Case Manager->case information edit page->validate input information->informatin invalid error message,EQ,CTRL|INT,undefined,Edit case,Edit case
8,Administrator->case information page->validate role->unauthorized error message,EQ,CTRL|INT,undefined,Edit case,Edit case
9,Administrator->case information page->validate role->role,EI,CTRL|DM|EI,undefined,Edit case,Edit case
10,Administrator->case information page->validate role->display information edit page->case information edit page,EQ,CTRL|INT,undefined,Edit case,Edit case
11,Administrator->list of cases->query detail of a case->case information page,EQ,CTRL|INT,undefined,Edit case,Edit case
12,Administrator->list of cases->query detail of a case->case,EI,CTRL|DM|EI,undefined,Edit case,Edit case
13,Administrator->case information edit page->validate input information->save case update information->case information,EI,CTRL|DM|EI,undefined,Edit case,Edit case
14,Administrator->case information edit page->validate input information->informatin invalid error message,EQ,CTRL|INT,undefined,Edit case,Edit case
