id,operation,element
1,calculatePoints,Board 
2,create,Board 
3,detonateAllBombs,Board 
4,showAllItems,Board 
5,Bomb,Bomb
6,Item,Item
7,changeEmail,User
8,changePassword,User
9,login,User
10,logout,User
11,GameEngine,Game Engine
12,GameHistory,Game History
13,LeaderBoard,LeaderBoard
14,Points,Points
15,Prize,Prize
16,UserProfile,User Profile
17,SystemBoundary,System Boundary
