id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,The total number of likes,boundary,0,2,Like Picture,Like Picture,
2,Like Information,entity,0,1,Like Picture,Like Picture,
3,Store the like information,control,2,1,Like Picture,Like Picture,
4,Heart Icon on a picture,boundary,1,1,Like Picture,Like Picture,
5,User,actor,2,0,Like Picture,Like Picture,
