id,element,type,outboundDegree, inboundDegree
890,Offers Page,boundary,1,1
891,User,actor,2,0
892,Display Partner Login,control,1,0
893,Display error message,control,0,1
894,Enter username and password,control,1,1
895,Is a match found?,control,2,1
896,Partner Login,boundary,1,2
897,Partner Portal,boundary,0,2
898,Query database with username and password,control,1,1
899,System Database,entity,1,1
900,Add Server,actor,1,0
901,FTSR,actor,2,0
902,Auto publish reschedule,control,1,0
903,Check validate,control,2,1
904,Dispaly Error Msg,control,0,1
905,Display modify error,control,0,1
906,Display offer,control,2,1
907,Offers,entity,1,0
908,Publish offer,control,0,2
909,Retrieve offers,control,1,2
910,offer details,boundary,1,3
911,offers pages,boundary,1,1
912,FT,actor,3,0
913,Coupon Database,entity,0,2
914,Coupon Invalid,boundary,1,1
915,Coupon Page,boundary,2,1
916,Coupon Redeemed,boundary,1,1
917,Coupon Validator,control,1,2
918,Generate Test Coupon,control,1,1
919,Open Coupon Page,control,0,1
920,Partner's Mobile,entity,1,2
921,Redeem Coupon,control,1,1
922,Save coupon for later,control,1,1
923,Test Coupon,entity,1,0
924,User,actor,5,0
925,Cancel Button,boundary,0,2
926,Design Coupon screen,boundary,0,2
927,Display Image in Coupon Image,control,1,1
928,File Chooser Windows,control,2,1
929,Open Button,boundary,1,1
930,Select the Image file,boundary,0,2
931,Upload Image button,boundary,1,1
932,Actor1,actor,2,0
933,Actor2,actor,1,0
934,b1,boundary,1,3
935,b2,boundary,1,4
936,c1,control,2,1
937,c2,control,1,2
938,c3,control,1,0
939,e1,entity,1,1
940,e2,entity,2,2
941,e3,entity,1,0
942,Actor1,actor,1,0
943,Actor2,actor,1,0
944,Object1,boundary,2,1
945,Object2,control,1,1
946,b1,boundary,1,2
947,c1,control,1,2
948,e1,entity,0,1
949,Actor1,actor,1,0
950,Actor2,actor,1,0
951,Object1,boundary,2,1
952,Object2,control,1,1
953,b1,boundary,1,2
954,c1,control,1,2
955,e1,entity,0,1
956,Business Parter,actor,4,0
957,Buy Subscription Comfirmation Page,boundary,1,2
958,Buy Subscription Page(1),boundary,1,2
959,Buy Subscription Page(1),boundary,1,1
960,Buy Success Page,boundary,1,2
961,Display Buy My Subscription Success Page,control,1,1
962,Display Home Page(Designed by other part),control,0,1
963,Display Subscription Comfirmation Page,control,1,1
964,Display Subscription Page(2),control,1,1
965,Marked as Subscirpted,control,1,1
966,Subscription,entity,1,1
967,Business Partner,actor,3,0
968,Cancel Subscription Comfirmation Page,boundary,2,2
969,Cancel Subscription Page,boundary,1,1
970,Cancel Subscription Success Page,boundary,1,2
971,Display Cancel Sub page,control,0,1
972,Display Comfirmation Page,control,1,1
973,Display Home Page,control,0,1
974,Display Success Page,control,1,1
975,Marked as Canceled,control,2,1
976,Subscription,entity,0,1
977,Business Partner,actor,1,0
978,Third Party Client,actor,1,0
979,Coupon,entity,0,2
980,Coupon Designer,boundary,5,1
981,Coupon Templates,entity,0,1
982,Edit,control,1,1
983,Error Message,boundary,0,1
984,Offers,entity,1,0
985,Retrieves,control,1,2
986,Save,control,1,1
987,Test,control,0,1
988,Upload Image,control,0,1
989,access,control,1,1
990,FTSR,actor,1,0
991,Edit Offer,control,1,1
992,Enter offer's new values,boundary,0,1
993,Invoke design coupon use case,boundary,0,1
994,Modify Offer,control,1,1
995,Modify offer page,boundary,3,1
996,Offer,entity,0,1
997,Offers Page,boundary,1,1
998,User,actor,2,0
999,Display Partner Login,control,1,0
1000,Display error message,control,0,1
1001,Enter username and password,control,1,1
1002,Is a match found?,control,2,1
1003,Partner Login,boundary,1,2
1004,Partner Portal,boundary,0,2
1005,Query database with username and password,control,1,1
1006,System Database,entity,1,1
1007,Add Server,actor,1,0
1008,FTSR,actor,2,0
1009,Auto publish reschedule,control,1,0
1010,Check validate,control,2,1
1011,Dispaly Error Msg,control,0,1
1012,Display modify error,control,0,1
1013,Display offer,control,2,1
1014,Offers,entity,1,0
1015,Publish offer,control,0,2
1016,Retrieve offers,control,1,2
1017,offer details,boundary,1,3
1018,offers pages,boundary,1,1
1019,FT,actor,3,0
1020,Coupon Database,entity,0,2
1021,Coupon Invalid,boundary,1,1
1022,Coupon Page,boundary,2,1
1023,Coupon Redeemed,boundary,1,1
1024,Coupon Validator,control,1,2
1025,Generate Test Coupon,control,1,1
1026,Open Coupon Page,control,0,1
1027,Partner's Mobile,entity,1,2
1028,Redeem Coupon,control,1,1
1029,Save coupon for later,control,1,1
1030,Test Coupon,entity,1,0
1031,User,actor,5,0
1032,Cancel Button,boundary,0,2
1033,Design Coupon screen,boundary,0,2
1034,Display Image in Coupon Image,control,1,1
1035,File Chooser Windows,control,2,1
1036,Open Button,boundary,1,1
1037,Select the Image file,boundary,0,2
1038,Upload Image button,boundary,1,1
1039,Actor1,actor,2,0
1040,Actor2,actor,1,0
1041,b1,boundary,1,3
1042,b2,boundary,1,4
1043,c1,control,2,1
1044,c2,control,1,2
1045,c3,control,1,0
1046,e1,entity,1,1
1047,e2,entity,2,2
1048,e3,entity,1,0
1049,Actor1,actor,1,0
1050,Actor2,actor,1,0
1051,Object1,boundary,2,1
1052,Object2,control,1,1
1053,b1,boundary,1,2
1054,c1,control,1,2
1055,e1,entity,0,1
1056,Actor1,actor,1,0
1057,Actor2,actor,1,0
1058,Object1,boundary,2,1
1059,Object2,control,1,1
1060,b1,boundary,1,2
1061,c1,control,1,2
1062,e1,entity,0,1
1063,Business Parter,actor,4,0
1064,Buy Subscription Comfirmation Page,boundary,1,2
1065,Buy Subscription Page(1),boundary,1,2
1066,Buy Subscription Page(1),boundary,1,1
1067,Buy Success Page,boundary,1,2
1068,Display Buy My Subscription Success Page,control,1,1
1069,Display Home Page(Designed by other part),control,0,1
1070,Display Subscription Comfirmation Page,control,1,1
1071,Display Subscription Page(2),control,1,1
1072,Marked as Subscirpted,control,1,1
1073,Subscription,entity,1,1
1074,Business Partner,actor,3,0
1075,Cancel Subscription Comfirmation Page,boundary,2,2
1076,Cancel Subscription Page,boundary,1,1
1077,Cancel Subscription Success Page,boundary,1,2
1078,Display Cancel Sub page,control,0,1
1079,Display Comfirmation Page,control,1,1
1080,Display Home Page,control,0,1
1081,Display Success Page,control,1,1
1082,Marked as Canceled,control,2,1
1083,Subscription,entity,0,1
1084,Business Partner,actor,1,0
1085,Third Party Client,actor,1,0
1086,Coupon,entity,0,2
1087,Coupon Designer,boundary,5,1
1088,Coupon Templates,entity,0,1
1089,Edit,control,1,1
1090,Error Message,boundary,0,1
1091,Offers,entity,1,0
1092,Retrieves,control,1,2
1093,Save,control,1,1
1094,Test,control,0,1
1095,Upload Image,control,0,1
1096,access,control,1,1
1097,FTSR,actor,1,0
1098,Edit Offer,control,1,1
1099,Enter offer's new values,boundary,0,1
1100,Invoke design coupon use case,boundary,0,1
1101,Modify Offer,control,1,1
1102,Modify offer page,boundary,3,1
1103,Offer,entity,0,1
1104,Offers Page,boundary,1,1
1105,User,actor,2,0
1106,Display Partner Login,control,1,0
1107,Display error message,control,0,1
1108,Enter username and password,control,1,1
1109,Is a match found?,control,2,1
1110,Partner Login,boundary,1,2
1111,Partner Portal,boundary,0,2
1112,Query database with username and password,control,1,1
1113,System Database,entity,1,1
1114,Add Server,actor,1,0
1115,FTSR,actor,2,0
1116,Auto publish reschedule,control,1,0
1117,Check validate,control,2,1
1118,Dispaly Error Msg,control,0,1
1119,Display modify error,control,0,1
1120,Display offer,control,2,1
1121,Offers,entity,1,0
1122,Publish offer,control,0,2
1123,Retrieve offers,control,1,2
1124,offer details,boundary,1,3
1125,offers pages,boundary,1,1
1126,FT,actor,3,0
1127,Coupon Database,entity,0,2
1128,Coupon Invalid,boundary,1,1
1129,Coupon Page,boundary,2,1
1130,Coupon Redeemed,boundary,1,1
1131,Coupon Validator,control,1,2
1132,Generate Test Coupon,control,1,1
1133,Open Coupon Page,control,0,1
1134,Partner's Mobile,entity,1,2
1135,Redeem Coupon,control,1,1
1136,Save coupon for later,control,1,1
1137,Test Coupon,entity,1,0
1138,User,actor,5,0
1139,Cancel Button,boundary,0,2
1140,Design Coupon screen,boundary,0,2
1141,Display Image in Coupon Image,control,1,1
1142,File Chooser Windows,control,2,1
1143,Open Button,boundary,1,1
1144,Select the Image file,boundary,0,2
1145,Upload Image button,boundary,1,1
1146,Avatar Library,entity,0,0
1147,Avatar Selection Page,boundary,0,0
1148,Weapon inventory,entity,0,1
1149,Weapons Bar,boundary,1,2
1150,display greyed out weapon icon,control,1,1
1151,display weapon icon,control,1,1
1152,display weapons bar,control,1,1
1153,weapon available?,control,3,1
1154,user,actor,1,0
1155,Account Creation Page,boundary,1,2
1156,Create Account,control,1,1
1157,Specify Credentials,control,4,1
1158,check if account name is unique,control,1,1
1159,check if passwords match,control,0,1
1160,check password format,control,0,1
1161,display error message,control,1,1
1162,User,actor,1,0
1163,Algortihm to scale,control,2,1
1164,Score,entity,1,0
1165,Show Rank,boundary,0,2
1166,Update Rank,control,0,1
1167,User,actor,1,0
1168,Calculate Score,control,1,2
1169,Count the number of enemies killed,control,1,0
1170,Display score at end of battle,boundary,1,1
1171,Update Database,control,1,1
1172,User Account,boundary,0,1
1173,User,actor,2,0
1174,Check if weapon availble,control,2,0
1175,Choose a main weapon,control,0,2
1176,Display weapons,control,1,2
1177,Single weapon,boundary,1,1
1178,User Account,entity,0,1
1179,Weapons Bar,boundary,1,1
1180,User,actor,1,0
1181,Avatar's Page,boundary,1,1
1182,Avatars,entity,0,1
1183,Render Avatar,control,0,1
1184,Select Avatar,control,2,1
1185,User,actor,1,0
1186,Check Weapon Inventory,control,0,1
1187,Select Weapon available,control,2,1
1188,Weapons,entity,0,1
1189,Weapons Bar,boundary,1,1
1190,User,actor,2,0
1191,AR mode,boundary,0,2
1192,Check If In hawaii,control,4,0
1193,Location,entity,0,1
1194,Not in Hawaii Mode,boundary,0,2
1195,Render Mode,control,0,1
1196,User,actor,2,0
1197,Achievements,entity,0,1
1198,Battle,entity,0,1
1199,Battle Scene,boundary,1,1
1200,Calculate Score,control,1,1
1201,Check if weapon hit the army,control,3,1
1202,Destroy armyMan,control,1,1
1203,Minimap,boundary,1,1
1204,Move Army Closer,control,1,1
1205,Update Minimap,control,0,2
1206,User,actor,1,0
1207,Battle,entity,0,1
1208,Retrieve Score,entity,2,1
1209,ScoreCards,boundary,1,1
1210,USer Master,entity,0,1
1211,User,actor,1,0
1212,Achievements,entity,0,1
1213,Battle,entity,0,1
1214,Battle Scene,boundary,3,1
1215,Increase Closing-in speed,control,1,2
1216,Increase Number of Army,control,4,1
1217,Increase Opponenent Weapons,control,0,2
1218,User Master,entity,0,1
1219,User,actor,1,0
1220,Algorithm,control,5,1
1221,Army Men,boundary,2,2
1222,Get Number of tikimen killed in that round,control,0,1
1223,Get level,control,1,1
1224,Increase Number of spawn,control,0,2
1225,Increase Speed,control,1,1
1226,Make Difficult to hit,control,1,1
1227,Time Elapsed,control,0,1
1228,User Account,entity,0,1
1229,User,actor,1,0
1230,Check Location,control,2,0
1231,Doug's E-book,boundary,1,1
1232,E-book,entity,1,0
1233,Location,entity,0,1
1234,Render the e-cook link,control,0,3
1235,User,actor,1,0
1236,Check Password,control,1,1
1237,DIsplay error ,control,1,1
1238,Enter Username and Password,control,2,1
1239,Login Page,boundary,1,2
1240,User,actor,1,0
1241,Check if the location is inside a geofence,boundary,1,2
1242,Get Location,control,2,1
1243,Location,entity,0,1
1244,Map,boundary,2,1
1245,Places,entity,0,1
1246,User,actor,1,0
1247,Object1,entity,0,0
1248,Select battle location,control,1,2
1249,VR Map,boundary,1,1
1250,VR scene library,entity,1,0
1251,User,actor,1,0
1252,Fetch Lat Lon,control,2,1
1253,GPS,boundary,1,1
1254,Location,entity,0,1
1255,Update Database,control,0,1
1256,User,actor,0,1
1257,Army men ,boundary,2,0
1258,Enemy,entity,0,1
1259,Get army information,control,1,1
1260,User,actor,1,0
1261,Army,entity,0,1
1262,Battle Scene,boundary,1,1
1263,Check Location
,control,2,0
1264,Control1,control,0,0
1265,Control2,control,0,0
1266,Location,entity,0,1
1267,Render Army around 360,control,2,0
1268,Render Background of the location,control,0,4
1269,Render Weapons Bar,control,0,0
1270,User,actor,2,0
1271,Ar Mode,boundary,1,1
1272,Check Location,control,1,2
1273,If not in Hawaii,control,0,2
1274,Location,entity,1,0
1275,VR mode,boundary,1,1
1276,if in Hawaii,control,1,1
1277,User,actor,2,0
1278,Check if in Hawaii or not,control,1,2
1279,Get Location,control,0,2
1280,In Hawaii Mode,boundary,1,1
1281,Location,entity,1,0
1282,Not In Hawaii Mode,boundary,1,1
1283,User,actor,1,0
1284,Check if the enemy is hit with the balll,control,0,1
1285,Minimap ,boundary,2,1
1286,Update Minimap,control,0,1
1287,User,actor,1,0
1288,Achivements,entity,0,1
1289,Battle,entity,0,1
1290,Map view,boundary,1,1
1291,Update the Database with all values,control,3,1
1292,User Master,entity,0,1
1293,User Master,control,0,0
1294,User,actor,2,0
1295,Check for the number of tikimen killed,control,3,0
1296,Destroy Enemy,control,0,1
1297,Updated Army,boundary,0,2
1298,Updated Minimap,boundary,0,2
1299,User,actor,1,0
1300,Battle Scene,boundary,1,1
1301,Flick Weapon,control,3,1
1302,Reduce Weapon Count,control,0,1
1303,Show in-App purchases,control,0,1
1304,Weapon,entity,0,1
1305,User,actor,1,0
1306,Check if weapon availble,control,1,1
1307,Decrease inventory count,control,1,1
1308,Flick Weapon,control,2,1
1309,Single Weapon ,boundary,1,1
1310,Weapons Inventory,entity,0,2
