id,element,type,outboundDegree, inboundDegree
201,upload choice,boundary,0,4
202,upload to current location,control,1,1
203,Actor,actor,4,0
204,camera,entity,1,1
205,can't access server,control,1,1
206,confirm,boundary,1,3
207,confirm upload,control,1,1
208,display my events,control,0,0
209,display my events,control,2,1
210,failed to upload,control,1,1
211,my event,entity,2,1
212,my events,boundary,1,3
213,photos in the event,entity,1,2
214,result,boundary,0,4
215,select an event,control,1,1
216,upload choice,boundary,1,3
217,upload finished,control,2,1
218,upload to my event,control,1,1
219,Actor,actor,1,0
220,Determine if user is event owner,control,2,1
221,Display Remaining Event Time,control,1,1
222,Event,entity,0,2
223,Event Screen,boundary,5,4
224,Handle photo retrieval error,control,1,1
225,Hide Edit Button,control,1,1
226,Navigate to Photo Selected Screen,control,0,1
227,Photo Collection,entity,0,2
228,Retrieve Photos for Event,control,2,1
229,Actor,actor,4,0
230,Can't access local photos,control,1,1
231,camera roll,boundary,1,3
232,choose a photo,control,1,1
233,get photos successfully,control,1,1
234,local photos,entity,2,1
235,my photos screen,boundary,1,2
236,process request,control,1,1
237,upload,control,1,1
238,upload choice,boundary,0,3
239,view photo,boundary,1,3
240,Actor,actor,1,0
241,cancel deletion,control,1,1
242,change mode,control,1,0
243,confirm delete photos,control,1,1
244,photo,entity,0,2
245,photo list,boundary,3,3
246,pop up photo connection error,control,1,1
247,select photos,control,1,2
248,Actor,actor,3,0
249,Admin page,boundary,0,3
250,Display event list,control,1,1
251,Event list,boundary,1,4
252,Get event list,control,3,1
253,Get photo list,control,2,1
254,Photo list,boundary,0,1
255,Pop up photo connection error,control,1,1
256,Search box,boundary,0,4
257,display photo list,control,1,1
258,event,entity,1,1
259,photo,entity,1,1
260,pop up event connection error,control,2,0
261,Actor,actor,3,0
262,Account,entity,1,1
263,Admin page,boundary,0,4
264,Display user list,control,1,1
265,Get photo list,control,2,1
266,Get user list,control,3,1
267,Photo list,boundary,0,1
268,Pop up photo connection error,control,1,1
269,Search box,boundary,0,3
270,User list,boundary,1,4
271,display photo list,control,1,1
272,photo,entity,1,1
273,pop up event connection error,control,2,0
274,Actor,actor,3,0
275,Delete expired events automatically,control,1,2
