id,element,useCase,type,component
1,User:Homepage,Send private message,boundary,Homepage
2,User:Send private  page,Send private message,boundary,Homepage
3,Compose the message designate the receiver :Confirmation page,Send private message,boundary,Homepage
4,Send private  page:Compose the message designate the receiver ,Send private message,boundary,Homepage
5,Confirmation page:Send private  page,Send private message,boundary,Homepage
6,Confirmation page:Homepage,Send private message,boundary,Homepage
7,stl#User:Homepage,Send private message,Stimulus,undefined
8,stl#User:Send private  page,Send private message,Stimulus,undefined
