id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,send notification,control,1,1,Send notification,Send notification,
2,comment,entity,0,1,Send notification,Send notification,
3,add comment,control,2,1,Send notification,Send notification,
4,Task list with comment box,boundary,1,1,Send notification,Send notification,
5,User,actor,1,0,Send notification,Send notification,
6,notification,entity,0,2,Send notification,Send notification,
7,send notification,control,1,1,Send notification,Send notification,
8,meeting,entity,0,1,Send notification,Send notification,
9,publish meeting,control,2,1,Send notification,Send notification,
10,meeting publish button,boundary,1,1,Send notification,Send notification,
11,Administrator,actor,1,0,Send notification,Send notification,
