id,path,functional,transactional,path_length, boundry_num, control_num, entity_num, actor_num, diagram,useCase
1,Administrator->meeting publish button->publish meeting->meeting,EI,CTRL|DM|EI,4,undefined,1,1,1,Send notification,Send notification
2,Administrator->meeting publish button->publish meeting->send notification->notification,EI,CTRL|DM|EI,5,undefined,2,1,1,Send notification,Send notification
3,User->Task list with comment box->add comment->send notification->notification,EI,CTRL|DM|EI,5,undefined,2,1,1,Send notification,Send notification
4,User->Task list with comment box->add comment->comment,EI,CTRL|DM|EI,4,undefined,1,1,1,Send notification,Send notification
