id,element,useCase,type,outboundDegree,inboundDegree
1,Employee:Coupon Redeem Page,Bill partner for redemption transaction,0,undefined,undefined
2,Employee:Coupon template,Bill partner for redemption transaction,0,undefined,undefined
3,Traveler:Coupon Redeem Page,Bill partner for redemption transaction,0,undefined,undefined
4,Traveler:Coupon template,Bill partner for redemption transaction,0,undefined,undefined
5,Alert message page:Display,Bill partner for redemption transaction,0,undefined,undefined
6,Alert message page:Coupon Redeem Page,Bill partner for redemption transaction,0,undefined,undefined
7,retrieve data from account:Alert message page,Bill partner for redemption transaction,0,undefined,undefined
8,Alert message page:Display,Bill partner for redemption transaction,0,undefined,undefined
9,Billing partner:Alert message page,Bill partner for redemption transaction,0,undefined,undefined
10,Invoke:Billing partner,Bill partner for redemption transaction,0,undefined,undefined
11,Coupon Redeem Page:Redeem Coupon,Bill partner for redemption transaction,0,undefined,undefined
12,Display:Coupon Redeem Page,Bill partner for redemption transaction,0,undefined,undefined
13,Display:Coupon template,Bill partner for redemption transaction,0,undefined,undefined
14,Redeem failed page:Display,Bill partner for redemption transaction,0,undefined,undefined
15,Generate barcode:Display,Bill partner for redemption transaction,0,undefined,undefined
16,Generate barcode:Display,Bill partner for redemption transaction,0,undefined,undefined
17,Generate barcode:retrieve data from account,Bill partner for redemption transaction,0,undefined,undefined
18,Generate barcode:Invoke,Bill partner for redemption transaction,0,undefined,undefined
19,Redeem Coupon:Generate barcode,Bill partner for redemption transaction,0,undefined,undefined
20,retrieve data from account:Generate barcode,Bill partner for redemption transaction,0,undefined,undefined
21,Invoke:Notifying partner,Bill partner for redemption transaction,0,undefined,undefined
22,Invoke:Validating redemption password,Bill partner for redemption transaction,0,undefined,undefined
23,Invoke:Logging transaction,Bill partner for redemption transaction,0,undefined,undefined
24,Invoke:Redeem failed page,Bill partner for redemption transaction,0,undefined,undefined
25,retrieve data from account:account,Bill partner for redemption transaction,0,undefined,undefined
26,stl#Employee:Coupon Redeem Page,Bill partner for redemption transaction,0,undefined,undefined
27,stl#Employee:Coupon template,Bill partner for redemption transaction,0,undefined,undefined
28,stl#Traveler:Coupon Redeem Page,Bill partner for redemption transaction,0,undefined,undefined
29,stl#Traveler:Coupon template,Bill partner for redemption transaction,0,undefined,undefined
