id,path,functional,transactional,path_length, boundary_num, control_num, entity_num, actor_num, utw, diagram,useCase
1,Valet->venue list->check if active->inactive employee,EQ,CTRL|INT,4,2,1,0,1,2,Check in as valet,Check in as valet
2,Valet->venue list->check if active->valet,EI,CTRL|DM|EI,4,1,1,1,1,0,Check in as valet,Check in as valet
3,Valet->venue list->check if active->check if venue is checked in->checked in by another valet,EQ,CTRL|INT,5,2,2,0,1,2,Check in as valet,Check in as valet
4,Valet->venue list->check if active->check if venue is checked in->venue,EI,CTRL|DM|EI,5,1,2,1,1,1,Check in as valet,Check in as valet
5,Valet->Confirmation request dialog->navigate to queue screen->Queue screen,EQ,CTRL|INT,4,2,1,0,1,1,Check in as valet,Check in as valet
6,Valet->Confirmation request dialog->Save acceptance->display server error message->Server error message,EQ,CTRL|INT,5,2,2,0,1,2,Check in as valet,Check in as valet
7,Valet->Confirmation request dialog->Save acceptance->venue,EI,CTRL|DM|EI,4,1,1,1,1,0,Check in as valet,Check in as valet
8,Valet->checked in by another valet->Redirect to venue list->venue list,EQ,CTRL|INT,4,2,1,0,1,2,Check in as valet,Check in as valet
9,Valet->notification of invalid transaction->redirect to payment screen->payment screen,EQ,CTRL|INT,4,2,1,0,1,2,Retrieve and Return Vehicle,Retrieve and Return Vehicle
10,Valet->request queue page->display dropdown->dropdown for retrieve and invalid,EQ,CTRL|INT,4,2,1,0,1,1,Retrieve and Return Vehicle,Retrieve and Return Vehicle
11,Valet->remove request button->Remove request->check payment->payment,EI,CTRL|DM|EI,5,1,2,1,1,1,Retrieve and Return Vehicle,Retrieve and Return Vehicle
12,Valet->remove request button->Remove request->check payment->Close out confirmation,EQ,CTRL|INT,5,2,2,0,1,2,Retrieve and Return Vehicle,Retrieve and Return Vehicle
13,Valet->remove request button->Remove request->request,EI,CTRL|DM|EI,4,1,1,1,1,0,Retrieve and Return Vehicle,Retrieve and Return Vehicle
14,Valet->Close out confirmation->send out email with the transaction record.->Email protocol,FUNC_NA,CTRL|EXTIVK,4,1,1,0,2,1,Retrieve and Return Vehicle,Retrieve and Return Vehicle
15,Valet->Close out confirmation->send out email with the transaction record.->Email send confirmation message,EQ,CTRL|INT,4,2,1,0,1,2,Retrieve and Return Vehicle,Retrieve and Return Vehicle
16,Valet->Close out confirmation->send out email with the transaction record.->payment,EI,CTRL|DM|EI,4,1,1,1,1,3,Retrieve and Return Vehicle,Retrieve and Return Vehicle
17,Valet->dropdown for retrieve and invalid->retrive and invalid request->request,EI,CTRL|DM|EI,4,1,1,1,1,1,Retrieve and Return Vehicle,Retrieve and Return Vehicle
18,Valet->dropdown for retrieve and invalid->retrive and invalid request->check payment exists->payment,EI,CTRL|DM|EI,5,1,2,1,1,3,Retrieve and Return Vehicle,Retrieve and Return Vehicle
19,Valet->dropdown for retrieve and invalid->retrive and invalid request->check payment exists->status of the payment,EQ,CTRL|INT,5,2,2,0,1,2,Retrieve and Return Vehicle,Retrieve and Return Vehicle
20,Valet->dropdown for retrieve and invalid->retrive and invalid request->check payment exists->notification of invalid transaction,EQ,CTRL|INT,5,2,2,0,1,2,Retrieve and Return Vehicle,Retrieve and Return Vehicle
21,Valet->dropdown for retrieve and invalid->retrive and invalid request->invalid request,EQ,CTRL|INT,4,2,1,0,1,2,Retrieve and Return Vehicle,Retrieve and Return Vehicle
22,Valet->Vehicle request screen->pull advertisement for random venue->venue,EI,CTRL|DM|EI,4,1,1,1,1,1,Check in as customer,Check in as customer
23,Valet->Vehicle request screen->pull advertisement for random venue->Advertisement for random venue,EQ,CTRL|INT,4,2,1,0,1,2,Check in as customer,Check in as customer
24,Valet->confirmation prompt->Redirect to vehicle request screen->Vehicle request screen,EQ,CTRL|INT,4,2,1,0,1,2,Check in as customer,Check in as customer
25,Valet->confirmation prompt->Redirect to venue list->venue list,EQ,CTRL|INT,4,2,1,0,1,2,Check in as customer,Check in as customer
26,Valet->venue list->display confirmation prompt->confirmation prompt,EQ,CTRL|INT,4,2,1,0,1,2,Check in as customer,Check in as customer
