NUM, UC, total_links, actor_num, boundary_num, control_num, entity_num, element_num, DM, INT, CTRL, EXTIVK, EXTCLL, TRAN_NA, TN, EI, EO, EQ, FUNC_NA, FN, average_degree,average_path_length,ArchDiff,PathNum,EUCPW,EXUCPW
1,Check in as valet,20,1,6,6,2,15,5,3,8,0,0,0,8,3,0,0,0,0,1.3333333333333333,4.375,5.833333333333333,8,15,18
2,Retrieve and Return Vehicle,30,2,9,7,2,20,7,5,13,1,0,0,13,5,0,0,0,0,1.5,4.384615384615385,6.5769230769230775,13,15,27
3,Check in as customer,18,1,5,4,1,11,5,2,7,0,0,0,7,2,0,0,0,0,1.6363636363636365,4,6.545454545454546,7,10,17
4,Request and Pay,17,2,5,4,2,13,4,2,7,1,2,0,7,2,0,0,0,0,1.3076923076923077,3.857142857142857,5.043956043956044,7,10,13
5,Remove Employee,12,1,4,2,1,8,3,1,4,0,0,0,4,1,0,0,0,0,1.5,4,6,4,10,10
6,Add Employee,14,1,4,3,1,9,3,1,4,0,0,0,4,1,0,0,0,0,1.5555555555555556,5.25,8.166666666666666,4,10,10
7,Remove Location,12,1,4,2,1,8,3,1,4,0,0,0,4,1,0,0,0,0,1.5,4,6,4,10,10
8,Add location,15,2,5,4,0,11,5,0,6,1,0,0,6,0,0,0,0,0,1.3636363636363635,4.5,6.136363636363636,6,10,16
9,Register as Valet,21,1,8,4,1,14,7,2,9,0,0,0,9,2,0,0,0,0,1.5,4.333333333333333,6.5,9,15,23
10,Register as Customer,21,1,8,4,1,14,7,2,9,0,0,0,9,2,0,0,0,0,1.5,4.333333333333333,6.5,9,15,23
11,Register as Valet Company,18,1,7,3,1,12,6,2,8,0,0,0,8,2,0,0,0,0,1.5,4.375,6.5625,8,15,20
