id,element,type,outbound_degree,inbound_degree,diagram,useCase
1,Server error message,boundary,0,2,Check in as valet,Check in as valet
2,display server error message,control,1,1,Check in as valet,Check in as valet
3,inactive employee,boundary,0,2,Check in as valet,Check in as valet
4,valet,entity,0,1,Check in as valet,Check in as valet
5,check if active,control,3,1,Check in as valet,Check in as valet
6,Redirect to venue list,control,1,1,Check in as valet,Check in as valet
7,checked in by another valet,boundary,1,2,Check in as valet,Check in as valet
8,Queue screen,boundary,0,2,Check in as valet,Check in as valet
9,navigate to queue screen,control,1,1,Check in as valet,Check in as valet
10,Save acceptance,control,3,1,Check in as valet,Check in as valet
11,Confirmation request dialog,boundary,2,1,Check in as valet,Check in as valet
12,venue,entity,0,2,Check in as valet,Check in as valet
13,check if venue is checked in,control,2,1,Check in as valet,Check in as valet
14,venue list,boundary,1,2,Check in as valet,Check in as valet
15,Valet,actor,6,0,Check in as valet,Check in as valet
16,payment screen,boundary,0,2,Retrieve and Return Vehicle,Retrieve and Return Vehicle
17,redirect to payment screen,control,1,1,Retrieve and Return Vehicle,Retrieve and Return Vehicle
18,notification of invalid transaction,boundary,1,2,Retrieve and Return Vehicle,Retrieve and Return Vehicle
19,invalid request,boundary,0,2,Retrieve and Return Vehicle,Retrieve and Return Vehicle
20,retrive and invalid request,control,3,1,Retrieve and Return Vehicle,Retrieve and Return Vehicle
21,Email protocol,actor,0,1,Retrieve and Return Vehicle,Retrieve and Return Vehicle
22,Email send confirmation message,boundary,0,2,Retrieve and Return Vehicle,Retrieve and Return Vehicle
23,send out email with the transaction record.,control,3,1,Retrieve and Return Vehicle,Retrieve and Return Vehicle
24,request queue page,boundary,1,1,Retrieve and Return Vehicle,Retrieve and Return Vehicle
25,payment,entity,0,3,Retrieve and Return Vehicle,Retrieve and Return Vehicle
26,display dropdown,control,1,1,Retrieve and Return Vehicle,Retrieve and Return Vehicle
27,Remove request,control,2,1,Retrieve and Return Vehicle,Retrieve and Return Vehicle
28,status of the payment,boundary,0,2,Retrieve and Return Vehicle,Retrieve and Return Vehicle
29,Close out confirmation,boundary,1,3,Retrieve and Return Vehicle,Retrieve and Return Vehicle
30,check payment,control,2,1,Retrieve and Return Vehicle,Retrieve and Return Vehicle
31,remove request button,boundary,2,1,Retrieve and Return Vehicle,Retrieve and Return Vehicle
32,request,entity,0,2,Retrieve and Return Vehicle,Retrieve and Return Vehicle
33,check payment exists,control,3,1,Retrieve and Return Vehicle,Retrieve and Return Vehicle
34,dropdown for retrieve and invalid,boundary,1,2,Retrieve and Return Vehicle,Retrieve and Return Vehicle
35,Valet,actor,9,0,Retrieve and Return Vehicle,Retrieve and Return Vehicle
36,server error,boundary,0,2,Check in as customer,Check in as customer
37,Redirect to venue list,control,1,1,Check in as customer,Check in as customer
38,display confirmation prompt,control,4,1,Check in as customer,Check in as customer
39,Redirect to vehicle request screen,control,1,1,Check in as customer,Check in as customer
40,confirmation prompt,boundary,2,2,Check in as customer,Check in as customer
41,Advertisement for random venue,boundary,0,3,Check in as customer,Check in as customer
42,Vehicle request screen,boundary,3,2,Check in as customer,Check in as customer
43,venue,entity,0,3,Check in as customer,Check in as customer
44,pull advertisement for random venue,control,2,1,Check in as customer,Check in as customer
45,venue list,boundary,1,2,Check in as customer,Check in as customer
46,Valet,actor,7,0,Check in as customer,Check in as customer
47,alert successful in submission,control,1,1,Request and Pay,Request and Pay
48,request queue,entity,0,1,Request and Pay,Request and Pay
49,Thirdparty payment,actor,1,1,Request and Pay,Request and Pay
50,payment page,boundary,1,2,Request and Pay,Request and Pay
51,make payment,control,1,1,Request and Pay,Request and Pay
52,vidate ticket,control,4,1,Request and Pay,Request and Pay
53,update request queue,control,2,1,Request and Pay,Request and Pay
54,invalid ticket number,boundary,0,2,Request and Pay,Request and Pay
55,error when submitting,boundary,0,3,Request and Pay,Request and Pay
56,successful payment alert,boundary,1,2,Request and Pay,Request and Pay
57,ticket,entity,0,1,Request and Pay,Request and Pay
58,ticket input page,boundary,1,1,Request and Pay,Request and Pay
59,Customer,actor,5,0,Request and Pay,Request and Pay
60,confirmation dialog,boundary,1,2,Remove Employee,Remove Employee
61,remove valet from db,control,3,1,Remove Employee,Remove Employee
62,prompt requesting confirmation,control,1,1,Remove Employee,Remove Employee
63,manage empolyee table,boundary,1,2,Remove Employee,Remove Employee
64,system error when connecting server,boundary,1,3,Remove Employee,Remove Employee
65,valet,entity,0,2,Remove Employee,Remove Employee
66,remove valet button,boundary,1,1,Remove Employee,Remove Employee
67,Valet,actor,5,0,Remove Employee,Remove Employee
68,update employee information,control,2,1,Add Employee,Add Employee
69,generate random empolyee id,control,3,1,Add Employee,Add Employee
