id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Login Error Page,boundary,0,2,Login,Login,
2,Administrator dashboard,boundary,0,2,Login,Login,
3,project info,entity,0,1,Login,Login,
4,retrieve project information,control,2,1,Login,Login,
5,general user dashboard,boundary,0,2,Login,Login,
6,Select project page,boundary,1,2,Login,Login,
7,user info,entity,0,1,Login,Login,
8,verify login information,control,4,1,Login,Login,
9,Login page,boundary,1,1,Login,Login,
10,User,actor,5,0,Login,Login,
