NUM, UC, total_links, actor_num, boundary_num, control_num, entity_num, element_num, DM, INT, CTRL, EXTIVK, EXTCLL, TRAN_NA, TN, EI, EO, EQ, FUNC_NA, FN, average_degree,average_path_length,ArchDiff,PathNum
1,Add image for switch,5,1,2,1,1,5,1,1,2,0,0,0,2,1,0,0,0,0,1,4,4,2
2,Assign gateways names,10,1,3,3,1,8,2,2,4,0,0,0,4,2,0,0,0,0,1.25,4.25,5.3125,4
3,Delete gateway,10,1,3,3,1,8,1,2,3,0,0,2,3,2,0,0,0,0,1.25,3.8,4.75,5
4,Swith on/off switches,10,1,3,3,1,8,2,2,4,0,0,0,4,2,0,0,0,0,1.25,4.25,5.3125,4
5,Add favorite screen,10,1,3,3,2,9,1,2,3,0,0,2,3,2,0,0,0,0,1.1111111111111112,3.8,4.222222222222222,5
