id,path,functional,transactional,path_length,diagram,useCase
1,User->add image for switch page->save image in db->Error message when saving image,EQ,CTRL|INT,undefined,Add image  for switch,Add image for switch
2,User->add image for switch page->save image in db->Image,EI,CTRL|DM|EI,undefined,Add image  for switch,Add image for switch
3,User->list of gateway->popup gateway name edit page->gateway name edit page,EQ,CTRL|INT,undefined,Assign gateways names,Assign gateways names
4,User->list of gateway->popup gateway name edit page->gateway,EI,CTRL|DM|EI,undefined,Assign gateways names,Assign gateways names
5,User->gateway name edit page->save gateway name to DB->gateway,EI,CTRL|DM|EI,undefined,Assign gateways names,Assign gateways names
6,User->gateway name edit page->save gateway name to DB->display error message->Error message when saving name,EQ,CTRL|INT,undefined,Assign gateways names,Assign gateways names
7,User->delete gateway confirm dialog->delete gateway from db->Display error message when deleting,FUNC_NA,TRAN_NA,undefined,Delete gateway,Delete gateway
8,User->delete gateway confirm dialog->delete gateway from db->gateways,EI,CTRL|DM|EI,undefined,Delete gateway,Delete gateway
9,User->Error when deleting gateway->Display error message when deleting,FUNC_NA,TRAN_NA,undefined,Delete gateway,Delete gateway
10,User->List of gateways->delete confirm dialog->delete gateway confirm dialog,EQ,CTRL|INT,undefined,Delete gateway,Delete gateway
11,User->List of gateways->delete confirm dialog->gateways,EI,CTRL|DM|EI,undefined,Delete gateway,Delete gateway
12,User->switch detail page->update switch status->Switch,EI,CTRL|DM|EI,undefined,Swith on/off switches,Swith on/off switches
13,User->switch detail page->update switch status->Error message when updating switchs->Error message of updating,EQ,CTRL|INT,undefined,Swith on/off switches,Swith on/off switches
14,User->List of switches->update list of switch->Switch,EI,CTRL|DM|EI,undefined,Swith on/off switches,Swith on/off switches
15,User->List of switches->update list of switch->switch detail page,EQ,CTRL|INT,undefined,Swith on/off switches,Swith on/off switches
16,User->list of switch->add switch to favoriate->Favoriate,EI,CTRL|DM|EI,undefined,Add favorite screen,Add favorite screen
17,User->list of switch->add switch to favoriate->Display error message when adding to favorite,FUNC_NA,TRAN_NA,undefined,Add favorite screen,Add favorite screen
18,User->Error message when updating->Display error message when adding to favorite,FUNC_NA,TRAN_NA,undefined,Add favorite screen,Add favorite screen
19,User->Add favorite screen->query list of switchs->list of switch,EQ,CTRL|INT,undefined,Add favorite screen,Add favorite screen
20,User->Add favorite screen->query list of switchs->Switch,EI,CTRL|DM|EI,undefined,Add favorite screen,Add favorite screen
