id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:Sorting options->User:Sorting options,Sort Pictures,CTRL,2,1,NaN,undefined,NaN
2,stl#User:Filter Icon->User:Filter Icon->Filter Icon:Display sorting options->Display sorting options:Sorting options,Sort Pictures,TRAN_NA,4,3,NaN,undefined,NaN
3,stl#User:Filter Icon->User:Filter Icon->Filter Icon:Display sorting options->Display sorting options:Sorting options->Sorting options:sort the picture->sort the picture:Sorted List of Pictures,Sort Pictures,TRAN_NA,6,5,NaN,undefined,NaN
4,stl#User:Sorted List of Pictures->User:Sorted List of Pictures,Sort Pictures,CTRL,2,1,NaN,undefined,NaN
5,stl#User:Sorting options->User:Sorting options->Sorting options:sort the picture->sort the picture:Sorted List of Pictures,Sort Pictures,CTRL,4,3,NaN,undefined,NaN
