id, element_name, attribute_num,operation_num
EAID_72650280_E477_4e20_9C10_E0975FC16EB1,Domain Model,0,0,0
EAID_BF038CA2_7CDA_4f51_AFE1_2D1FB50D9435,Domain Objects,0,0,17
EAID_221FB25D_649B_4d39_B0CB_CB19009FCA13,Domain Classes,0,0,27
