id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Error Message,boundary,0,1,Design Coupon,Design Coupon,
2,access,control,1,1,Design Coupon,Design Coupon,
3,External Image Service,actor,0,1,Design Coupon,Design Coupon,
4,Third Party Client,actor,1,0,Design Coupon,Design Coupon,
5,Coupon,entity,0,2,Design Coupon,Design Coupon,
6,Coupon Templates,entity,0,1,Design Coupon,Design Coupon,
7,Offers,entity,1,0,Design Coupon,Design Coupon,
8,Retrieves,control,1,2,Design Coupon,Design Coupon,
9,Upload Image,control,1,1,Design Coupon,Design Coupon,
10,Test,control,0,1,Design Coupon,Design Coupon,
11,Save,control,1,1,Design Coupon,Design Coupon,
12,Coupon Designer,boundary,5,1,Design Coupon,Design Coupon,
13,Edit,control,1,1,Design Coupon,Design Coupon,
14,Business Partner,actor,1,0,Design Coupon,Design Coupon,
