NUM, UC, total_links, actor_num, boundary_num, control_num, entity_num, element_num, DM, INT, CTRL, EXTIVK, EXTCLL, TRAN_NA, TN, EI, EO, EQ, FUNC_NA, FN, average_degree,average_path_length,ArchDiff,PathNum
1,Call customers,22,2,6,6,2,16,5,3,9,1,1,0,9,3,0,0,0,0,1.375,3.888888888888889,5.347222222222222,9
2,Update Lead Status,5,1,2,1,1,5,1,1,2,0,0,0,2,1,0,0,0,0,1,4,4,2
3,Remove lead from auto dialer list,5,1,2,1,1,5,1,1,2,0,0,0,2,1,0,0,0,0,1,4,4,2
4,Request Manager Conference,14,3,4,5,0,12,3,0,5,2,3,0,5,0,0,0,0,0,1.1666666666666667,3.2,3.733333333333334,5
5,Monitor Agents,9,2,3,2,1,8,2,1,4,1,0,0,4,1,0,0,0,0,1.125,4,4.5,4
6,Receeive Calls,12,4,3,4,1,12,2,1,5,2,3,0,5,1,0,0,0,0,1,3.4,3.4,5
7,Record calls and call details,14,3,3,5,0,11,2,0,4,2,2,0,4,0,0,0,0,0,1.2727272727272727,3.5,4.454545454545454,4
8,View call los and listen to call recordings,16,2,4,5,2,13,3,2,7,2,3,0,7,2,0,0,0,0,1.2307692307692308,3.5714285714285716,4.395604395604396,7
