id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Redirect to search page,control,1,1,Follow/unfollow a provider,Follow/unfollow a provider,
2,Subscription,entity,0,1,Follow/unfollow a provider,Follow/unfollow a provider,
3,Update subscription information,control,1,1,Follow/unfollow a provider,Follow/unfollow a provider,
4,Popup confirm diagram,control,2,1,Follow/unfollow a provider,Follow/unfollow a provider,
5,Confirm dialog,boundary,1,2,Follow/unfollow a provider,Follow/unfollow a provider,
6,follow/unfollow button,boundary,1,2,Follow/unfollow a provider,Follow/unfollow a provider,
7,Provider,entity,0,1,Follow/unfollow a provider,Follow/unfollow a provider,
8,Display all provider based on criteria,control,2,1,Follow/unfollow a provider,Follow/unfollow a provider,
9,Search provide page,boundary,1,2,Follow/unfollow a provider,Follow/unfollow a provider,
10,User,actor,3,0,Follow/unfollow a provider,Follow/unfollow a provider,
