id,element,useCase,type,component
1,Attendee:Review page,Review course,boundary,Course Review Page
2,Attendee:Home page,Review course,boundary,Payment page
3,Attendee:Course detail page,Review course,boundary,Course detail page
4,Attendee:registration success,Review course,boundary,Dashboard process request page
5,Attendee:Cours information update success message,Review course,control,Sign up course attendee page
6,Send out confirmation email:Email protocol,Review course,control,Trainer profile page
7,EventBrite:Update cours information in db,Review course,control,Sign up course attendee page
8,EventBrite:receive payment result,Review course,boundary,Payment page
9,make payment:EventBrite,Review course,boundary,Payment page
10,setupPayment:EventBrite,Review course,boundary,Payment page
11,Cours information update success message:make payment,Review course,boundary,Payment page
12,Update cours information in db:Cours information update success message,Review course,control,Sign up course attendee page
13,Update cours information in db:Course,Review course,control,Course
14,Course detail page:setupPayment,Review course,boundary,Payment page
15,Course detail page:Display review page,Review course,boundary,Course Review Page
16,Display review page:Review page,Review course,boundary,Course Review Page
17,Redirect to home page:Home page,Review course,boundary,Payment page
18,Review page:Redirect to home page,Review course,control,Order records page
19,Review page:Update cours information in db,Review course,control,Sign up course attendee page
20,Send out confirmation email:registration success,Review course,boundary,Dashboard process request page
21,receive payment result:Send out confirmation email,Review course,control,Course attendeee profile page
22,stl#Attendee:Review page,Review course,Stimulus,undefined
23,stl#Attendee:Home page,Review course,Stimulus,undefined
24,stl#Attendee:Course detail page,Review course,Stimulus,undefined
25,stl#Attendee:registration success,Review course,Stimulus,undefined
26,stl#Attendee:Cours information update success message,Review course,Stimulus,undefined
27,stl#EventBrite:Update cours information in db,Review course,Stimulus,undefined
28,stl#EventBrite:receive payment result,Review course,Stimulus,undefined
