id,path,functional,transactional,path_length, boundry_num, control_num, entity_num, actor_num, diagram,useCase
1,Actor->Delete expired events automatically->event,FUNC_NA,CTRL|EXTCLL|DM|EI,3,undefined,1,1,1,Use Case Model,Automatic deletion
2,Actor->delete photos related to expired events automatically->photo,FUNC_NA,CTRL|EXTCLL|DM|EI,3,undefined,1,1,1,Use Case Model,Automatic deletion
3,Actor->delete expired location photos automatically->photo,FUNC_NA,CTRL|EXTCLL|DM|EI,3,undefined,1,1,1,Use Case Model,Automatic deletion
