id,operation,element
1,confirmdialog,confirmdialog
2,verifyinputinformation,verifyinputinformation
3,websites,websites
4,Attributelistofwebsite,websites
5,addattributes,websites
6,querycrawlinglistofwebsites,websites
7,schedulesuccessmessage,schedulesuccessmessage
8,schedule,schedulesuccessmessage
