id, function, functional, DET, FTR, boundaries, controls, entities, typeStr
1,contractor:player detail page-->player detail page:add player-->add player:player,EQ,0,3,0,3,0,control->control->control
2,contractor:players tab-->players tab:query crawling list of players-->query crawling list of players:player,EQ,3,3,0,3,0,control->control->control
3,contractor:players tab-->players tab:query crawling list of players-->query crawling list of players:all players list-->all players list:query attribute list of a player-->query attribute list of a player:player detail page-->player detail page:add player-->add player:player,EQ,3,7,0,7,0,control->control->control->control->control->control->control
4,contractor:players tab-->players tab:query crawling list of players-->query crawling list of players:all players list-->all players list:query attribute list of a player-->query attribute list of a player:player,EQ,3,5,0,5,0,control->control->control->control->control
5,contractor:all players list-->all players list:query attribute list of a player-->query attribute list of a player:player detail page-->player detail page:add player-->add player:player,EQ,0,5,0,5,0,control->control->control->control->control
6,contractor:all players list-->all players list:query attribute list of a player-->query attribute list of a player:player,EQ,0,3,0,3,0,control->control->control
7,Contractor:Attribute list of website-->Attribute list of website:add attributes-->add attributes:websites,EQ,0,3,0,3,0,control->control->control
8,Contractor:Invalid website information-->Invalid website information:query attributes of webbiste-->query attributes of webbiste:websites,EQ,0,3,0,3,0,control->control->control
9,Contractor:Invalid website information-->Invalid website information:query attributes of webbiste-->query attributes of webbiste:Attribute list of website-->Attribute list of website:add attributes-->add attributes:websites,EQ,0,5,0,5,0,control->control->control->control->control
10,Contractor:Website detail input page-->Website detail input page:verify input information-->verify input information:save website info-->save website info:websites,EQ,1,4,0,4,0,control->control->control->control
11,Contractor:Website detail input page-->Website detail input page:verify input information-->verify input information:Invalid website information-->Invalid website information:query attributes of webbiste-->query attributes of webbiste:websites,EQ,0,5,0,5,0,control->control->control->control->control
12,Contractor:Website detail input page-->Website detail input page:verify input information-->verify input information:Invalid website information-->Invalid website information:query attributes of webbiste-->query attributes of webbiste:Attribute list of website-->Attribute list of website:add attributes-->add attributes:websites,EQ,0,7,0,7,0,control->control->control->control->control->control->control
13,contractor:all players list-->all players list:query attribute list of a player-->query attribute list of a player:player detail page-->player detail page:update player attributes-->update player attributes:player,EQ,0,5,0,5,0,control->control->control->control->control
14,contractor:players tab-->players tab:query crawling list of players-->query crawling list of players:all players list-->all players list:query attribute list of a player-->query attribute list of a player:player detail page-->player detail page:update player attributes-->update player attributes:player,EQ,3,7,0,7,0,control->control->control->control->control->control->control
15,contractor:player detail page-->player detail page:update player attributes-->update player attributes:player,EQ,0,3,0,3,0,control->control->control
16,Contractor:show crawling list-->show crawling list:query crawling list of websites-->query crawling list of websites:websites,EI,1,3,0,2,1,control->control->entity
17,Contractor:show crawling list-->show crawling list:query crawling list of websites-->query crawling list of websites:List of websites-->List of websites:query attributes of webbiste-->query attributes of webbiste:websites,EI,1,5,0,2,3,control->control->entity->entity->entity
