id,path,functional,transactional,path_length, boundry_num, control_num, entity_num, actor_num, diagram,useCase
1,User->manage girls/teams/volunteers page->query girl info->query teams info->Teams,EI,CTRL|DM|EI,5,undefined,2,1,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls
2,User->manage girls/teams/volunteers page->query girl info->query teams info->query volunteers info->Girls/Teams/Volunteers manage page,EQ,CTRL|INT,6,undefined,3,0,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls
3,User->manage girls/teams/volunteers page->query girl info->query teams info->query volunteers info->Volunteers,EI,CTRL|DM|EI,6,undefined,3,1,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls
4,User->manage girls/teams/volunteers page->query girl info->Girl,EI,CTRL|DM|EI,4,undefined,1,1,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls
5,User->Girls/Teams/Volunteers manage page->process input information for girs/teams/volunteers->Invalid modified information,EQ,CTRL|INT,4,undefined,1,0,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls
6,User->Girls/Teams/Volunteers manage page->process input information for girs/teams/volunteers->Save modified information->Volunteers,EI,CTRL|DM|EI,5,undefined,2,1,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls
7,User->Girls/Teams/Volunteers manage page->process input information for girs/teams/volunteers->Save modified information->Teams,EI,CTRL|DM|EI,5,undefined,2,1,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls
8,User->Girls/Teams/Volunteers manage page->process input information for girs/teams/volunteers->Save modified information->Girl,EI,CTRL|DM|EI,5,undefined,2,1,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls
9,User->Girls/Teams/Volunteers manage page->process input information for girs/teams/volunteers->Save modified information->Save modified information success message,EQ,CTRL|INT,5,undefined,2,0,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls
10,User->Girls/Teams/Volunteers manage page->process input information for girs/teams/volunteers->Required information missing error message,EQ,CTRL|INT,4,undefined,1,0,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls
11,User->Girls/Teams/Volunteers manage page->Delete girls/volunteers/teams->Delete information successfully,EQ,CTRL|INT,4,undefined,1,0,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls
12,User->Girls/Teams/Volunteers manage page->Delete girls/volunteers/teams->Volunteers,EI,CTRL|DM|EI,4,undefined,1,1,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls
13,User->Girls/Teams/Volunteers manage page->Delete girls/volunteers/teams->Girl,EI,CTRL|DM|EI,4,undefined,1,1,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls
14,User->Girls/Teams/Volunteers manage page->Delete girls/volunteers/teams->Teams,EI,CTRL|DM|EI,4,undefined,1,1,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls
