id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Actor,actor,4,0,Use Case Model,Search event and upload photo,
2,failed to upload,control,1,1,Use Case Model,Search event and upload photo,
3,Upload finished,control,1,1,Use Case Model,Search event and upload photo,
4,Photos in the event,entity,2,1,Use Case Model,Search event and upload photo,
5,confirm upload,control,1,1,Use Case Model,Search event and upload photo,
6,Select an event,control,1,1,Use Case Model,Search event and upload photo,
7,prepare resullt,control,1,1,Use Case Model,Search event and upload photo,
8,result,boundary,0,2,Use Case Model,Search event and upload photo,
9,Search Event,boundary,1,3,Use Case Model,Search event and upload photo,
10,Search(back-end),control,1,2,Use Case Model,Search event and upload photo,
11,Event Collection,entity,1,1,Use Case Model,Search event and upload photo,
12,can't access server,control,2,0,Use Case Model,Search event and upload photo,
13,confirm,boundary,1,3,Use Case Model,Search event and upload photo,
14,Search Result Page,boundary,1,3,Use Case Model,Search event and upload photo,
15,enter search item and search,control,1,2,Use Case Model,Search event and upload photo,
16,search & upload,control,2,0,Use Case Model,Search event and upload photo,
17,upload choice,boundary,0,3,Use Case Model,Search event and upload photo,
