id,element,useCase,type,component
1,User:Update error message,Edit Page on Website,boundary,Emptycompletemessage
2,User:page edit text field and update button,Edit Page on Website,control,Page
3,User:Page Selector,Edit Page on Website,control,Page
4,User:Update message,Edit Page on Website,boundary,Emptycompletemessage
5,Load page to edit:page edit text field and update button,Edit Page on Website,control,Page
6,Page Selector:Load page to edit,Edit Page on Website,control,Page
7,Update page:Page,Edit Page on Website,control,Page
8,Update page:Update error message,Edit Page on Website,boundary,Emptycompletemessage
9,Update page:Update message,Edit Page on Website,boundary,Emptycompletemessage
10,page edit text field and update button:Update page,Edit Page on Website,control,Page
11,stl#User:Update error message,Edit Page on Website,Stimulus,undefined
12,stl#User:page edit text field and update button,Edit Page on Website,Stimulus,undefined
13,stl#User:Page Selector,Edit Page on Website,Stimulus,undefined
14,stl#User:Update message,Edit Page on Website,Stimulus,undefined
