,model1,model2,metric,model1_mean,model2_mean,bonferroni_p_value,cohen_d
1,TRAN,LASSO,PRED25,0,0.09,0.02,1.23
2,UCP,LASSO,PRED25,0,0.01,0.02,0.19
3,IFPUG,LASSO,PRED25,0,0.05,0.02,0.84
4,COSMIC,LASSO,PRED25,0,0.09,0.02,1.24
5,SLOC,LASSO,PRED25,0,0.04,0.02,0.75
6,LOG_SLOC,LASSO,PRED25,0,0.08,0.02,1.31
7,STEP_REG,LASSO,PRED25,0,0.09,0.02,1.08
8,TRAN,UCP,PRED25,0.09,0.01,0.02,1.14
9,TRAN,IFPUG,PRED25,0.09,0.05,0.02,0.4
10,TRAN,COSMIC,PRED25,0.09,0.09,0.02,0.01
11,TRAN,SLOC,PRED25,0.09,0.04,0.02,0.6
12,TRAN,LOG_SLOC,PRED25,0.09,0.08,0.02,0.05
13,TRAN,STEP_REG,PRED25,0.09,0.09,0.02,0
14,IFPUG,UCP,PRED25,0.01,0.05,0.02,0.74
15,COSMIC,UCP,PRED25,0.01,0.09,0.02,1.14
16,SLOC,UCP,PRED25,0.01,0.04,0.02,0.62
17,LOG_SLOC,UCP,PRED25,0.01,0.08,0.02,1.2
18,STEP_REG,UCP,PRED25,0.01,0.09,0.02,1.01
19,COSMIC,IFPUG,PRED25,0.05,0.09,0.02,0.38
20,IFPUG,SLOC,PRED25,0.05,0.04,0.02,0.19
21,LOG_SLOC,IFPUG,PRED25,0.05,0.08,0.02,0.37
22,STEP_REG,IFPUG,PRED25,0.05,0.09,0.02,0.37
23,COSMIC,SLOC,PRED25,0.09,0.04,0.02,0.59
24,COSMIC,LOG_SLOC,PRED25,0.09,0.08,0.02,0.03
25,STEP_REG,COSMIC,PRED25,0.09,0.09,0.02,0.01
26,LOG_SLOC,SLOC,PRED25,0.04,0.08,0.02,0.59
27,STEP_REG,SLOC,PRED25,0.04,0.09,0.02,0.55
28,STEP_REG,LOG_SLOC,PRED25,0.08,0.09,0.02,0.04
29,REG_TREE,TRAN,MDMRE,0.72,1.04,0.02,0.46
