,model_texts,model_estimator,R2,f_test,Rank
1,REG_TREE,REG TREE,0.95,0,1
2,STEP_REG,STEP,0.65,0,2
3,NEURAL_NET,ANN,0.52,0.04,3
4,IFPUG,LSR,0.45,0.1,4
5,TRAN,LSR,0.21,0.27,5
6,COSMIC,LSR,0.13,0.69,6
7,SLOC,LSR,0.11,0.73,7
8,LASSO,LASSO,0,1,8
9,LOG_SLOC,LSR,0,0.8,8
10,UCP,LSR,0,1,8
