NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Avg_DETs, Arch_Diff,EI,EO,EQ,FN,SWTI,SWTII,SWTIII
1,App user login,4,15,0,12,9,2,1,0,0,0,0,1,0,0,3,1,16,6.125,8,12,98,0,0,15,4,4.0592,11.1547,7.4072000000000005
2,Capture Frame from Video and get  LP number,10,25,0,23,2,16,5,1,0,0,1,3,0,1,7,3,15,11.703703703703704,9,11.666666666666666,175.55555555555557,0,0,39,10,10.147999999999998,41.661,22.3295
3,Extract License Plat Number from Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Extract Metrics on Number of hits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Generate Usage-based bill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Independent Review of Bad Driver Report,9,24,0,20,14,4,2,0,0,0,0,0,0,0,9,0,0,4.766666666666667,0,0,0,0,0,36,9,9.133199999999999,25.6788,24.2992
7,Post Bad Driver Report to Insurance DB,32,26,0,23,13,10,0,0,0,1,0,1,0,1,31,1,272,11.971428571428572,140,240,3256.2285714285713,0,0,160,32,32.47360000000001,233.75620000000004,217.67599999999996
8,Query bad driver reporting DB,5,14,0,11,9,2,0,0,0,1,0,1,0,1,4,1,30,7.466666666666667,15,25,224,0,0,19,5,5.074,32.1182,22.877
9,Recording video clips in a circular buffer,4,9,0,8,2,5,1,0,0,0,0,0,0,0,4,0,0,2.4705882352941178,0,0,0,0,0,20,4,4.0592,11.1547,10.478200000000001
10,Recording video of bad driving event,13,17,0,14,4,9,1,0,0,1,0,2,0,1,11,2,48.5,8.391304347826088,23,42,406.97826086956525,0,0,59,13,13.192399999999996,85.1754,76.4924
11,Resolve Potential Duplicates,3,10,0,8,6,2,0,0,0,0,0,0,0,0,3,0,0,3.6666666666666665,0,0,0,0,0,12,3,3.0443999999999996,7.3081,5.3949
12,Reviewer/Agent Login,5,18,0,14,8,3,3,0,0,0,0,0,0,0,5,0,0,5.722222222222222,0,0,0,0,0,20,5,5.074,22.6663,11.266499999999999
13,Send Drunk Driver Alert,9,27,0,25,6,13,6,0,0,0,0,0,0,0,9,0,0,5.675675675675675,0,0,0,0,0,44,9,9.133199999999999,35.867799999999995,17.4687
14,Upload video clip to bad driver recording DB,5,19,0,14,2,12,0,0,0,0,0,3,0,0,2,3,5,2.3,3.3333333333333335,3.3333333333333335,11.5,0,0,16,5,5.074,5.6751,5.9765
15,View video clips,4,11,0,9,2,6,1,0,0,0,0,1,0,0,3,1,19,3.0833333333333335,12,15,58.583333333333336,0,0,15,4,4.0592,9.4205,6.6567
