id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,User,entity,0,1,Create high-level user,Create high-level user,
2,create user information page,boundary,1,2,Create high-level user,Create high-level user,
3,validate input information,control,2,1,Create high-level user,Create high-level user,
4,create user information page,control,2,1,Create high-level user,Create high-level user,
5,information invalid message,boundary,0,2,Create high-level user,Create high-level user,
6,role,entity,0,1,Create high-level user,Create high-level user,
7,user management page,boundary,1,2,Create high-level user,Create high-level user,
8,unauthorized error message,boundary,0,2,Create high-level user,Create high-level user,
9,insert user info,control,1,1,Create high-level user,Create high-level user,
10,validate role of user,control,3,1,Create high-level user,Create high-level user,
11,User Management Button,boundary,1,1,Create high-level user,Create high-level user,
12,User,actor,5,0,Create high-level user,Create high-level user,
